edge_id,compound_id,source_node,target_node,operation,operation_type,weight
edge_20597,PEI,node_3018,node_16343,protonation,ionization,1.0
edge_20598,PEI,node_3018,node_16344,deprotonation,ionization,1.0
edge_20599,PEI,node_3019,node_16345,electron_loss,ionization,1.0
edge_20600,PEI,node_3019,node_16346,electron_gain,ionization,1.0
edge_20601,PEI,node_3019,node_16347,protonation,ionization,1.0
edge_20602,PEI,node_3019,node_16348,deprotonation,ionization,1.0
edge_20603,PEI,node_3020,node_16349,electron_loss,ionization,1.0
edge_20604,PEI,node_3020,node_16350,electron_gain,ionization,1.0
edge_20605,PEI,node_3020,node_16351,protonation,ionization,1.0
edge_20606,PEI,node_3020,node_16352,deprotonation,ionization,1.0
edge_20607,PEI,node_3021,node_16353,electron_loss,ionization,1.0
edge_20608,PEI,node_3021,node_16354,electron_gain,ionization,1.0
edge_20609,PEI,node_3021,node_16355,protonation,ionization,1.0
edge_20610,PEI,node_3021,node_16356,deprotonation,ionization,1.0
edge_20611,PEI,node_3022,node_16357,electron_loss,ionization,1.0
edge_20612,PEI,node_3022,node_16358,electron_gain,ionization,1.0
edge_20613,PEI,node_3022,node_16359,protonation,ionization,1.0
edge_20614,PEI,node_3022,node_16360,deprotonation,ionization,1.0
edge_20615,PEI,node_3023,node_16361,electron_loss,ionization,1.0
edge_20616,PEI,node_3023,node_16362,electron_gain,ionization,1.0
edge_20617,PEI,node_3023,node_16363,protonation,ionization,1.0
edge_20618,PEI,node_3023,node_16364,deprotonation,ionization,1.0
edge_20619,PEI,node_3024,node_16365,electron_loss,ionization,1.0
edge_20620,PEI,node_3024,node_16366,electron_gain,ionization,1.0
edge_20621,PEI,node_3024,node_16367,protonation,ionization,1.0
edge_20622,PEI,node_3024,node_16368,deprotonation,ionization,1.0
edge_20623,PEI,node_3025,node_16369,electron_loss,ionization,1.0
edge_20624,PEI,node_3025,node_16370,electron_gain,ionization,1.0
edge_20625,PEI,node_3025,node_16371,protonation,ionization,1.0
edge_20626,PEI,node_3025,node_16372,deprotonation,ionization,1.0
edge_20627,PEI,node_3026,node_16373,electron_loss,ionization,1.0
edge_20628,PEI,node_3026,node_16374,electron_gain,ionization,1.0
edge_20629,PEI,node_3026,node_16375,protonation,ionization,1.0
edge_20630,PEI,node_3026,node_16376,deprotonation,ionization,1.0
edge_20631,PEI,node_3027,node_16377,electron_loss,ionization,1.0
edge_20632,PEI,node_3027,node_16378,electron_gain,ionization,1.0
edge_20633,PEI,node_3027,node_16379,protonation,ionization,1.0
edge_20634,PEI,node_3027,node_16380,deprotonation,ionization,1.0
edge_20635,PEI,node_3028,node_16381,electron_loss,ionization,1.0
edge_20636,PEI,node_3028,node_16382,electron_gain,ionization,1.0
edge_20637,PEI,node_3028,node_16383,protonation,ionization,1.0
edge_20638,PEI,node_3028,node_16384,deprotonation,ionization,1.0
edge_20639,PEI,node_3029,node_16385,electron_loss,ionization,1.0
edge_20640,PEI,node_3029,node_16386,electron_gain,ionization,1.0
edge_20641,PEI,node_3029,node_16387,protonation,ionization,1.0
edge_20642,PEI,node_3029,node_16388,deprotonation,ionization,1.0
edge_20643,PEI,node_3030,node_16389,electron_loss,ionization,1.0
edge_20644,PEI,node_3030,node_16390,electron_gain,ionization,1.0
edge_20645,PEI,node_3030,node_16391,protonation,ionization,1.0
edge_20646,PEI,node_3030,node_16392,deprotonation,ionization,1.0
edge_20647,PEI,node_3031,node_16393,electron_loss,ionization,1.0
edge_20648,PEI,node_3031,node_16394,electron_gain,ionization,1.0
edge_20649,PEI,node_3031,node_16395,protonation,ionization,1.0
edge_20650,PEI,node_3031,node_16396,deprotonation,ionization,1.0
edge_20651,PEI,node_3032,node_16397,electron_loss,ionization,1.0
edge_20652,PEI,node_3032,node_16398,electron_gain,ionization,1.0
edge_20653,PEI,node_3032,node_16399,protonation,ionization,1.0
edge_20654,PEI,node_3032,node_16400,deprotonation,ionization,1.0
edge_20655,PEI,node_3033,node_16401,electron_loss,ionization,1.0
edge_20656,PEI,node_3033,node_16402,electron_gain,ionization,1.0
edge_20657,PEI,node_3033,node_16403,protonation,ionization,1.0
edge_20658,PEI,node_3033,node_16404,deprotonation,ionization,1.0
edge_20659,PEI,node_3034,node_16405,electron_loss,ionization,1.0
edge_20660,PEI,node_3034,node_16406,electron_gain,ionization,1.0
edge_20661,PEI,node_3034,node_16407,protonation,ionization,1.0
edge_20662,PEI,node_3034,node_16408,deprotonation,ionization,1.0
edge_20663,PEI,node_3035,node_16409,electron_loss,ionization,1.0
edge_20664,PEI,node_3035,node_16410,electron_gain,ionization,1.0
edge_20665,PEI,node_3035,node_16411,protonation,ionization,1.0
edge_20666,PEI,node_3035,node_16412,deprotonation,ionization,1.0
edge_20667,PEI,node_3036,node_16413,electron_loss,ionization,1.0
edge_20668,PEI,node_3036,node_16414,electron_gain,ionization,1.0
edge_20669,PEI,node_3036,node_16415,protonation,ionization,1.0
edge_20670,PEI,node_3036,node_16416,deprotonation,ionization,1.0
edge_20671,PEI,node_3037,node_16417,electron_loss,ionization,1.0
edge_20672,PEI,node_3037,node_16418,electron_gain,ionization,1.0
edge_20673,PEI,node_3037,node_16419,protonation,ionization,1.0
edge_20674,PEI,node_3037,node_16420,deprotonation,ionization,1.0
edge_20675,PEI,node_3038,node_16421,electron_loss,ionization,1.0
edge_20676,PEI,node_3038,node_16422,electron_gain,ionization,1.0
edge_20677,PEI,node_3038,node_16423,protonation,ionization,1.0
edge_20678,PEI,node_3038,node_16424,deprotonation,ionization,1.0
edge_20679,PEI,node_3039,node_16425,electron_loss,ionization,1.0
edge_20680,PEI,node_3039,node_16426,electron_gain,ionization,1.0
edge_20681,PEI,node_3039,node_16427,protonation,ionization,1.0
edge_20682,PEI,node_3039,node_16428,deprotonation,ionization,1.0
edge_20683,PEI,node_3040,node_16429,electron_loss,ionization,1.0
edge_20684,PEI,node_3040,node_16430,electron_gain,ionization,1.0
edge_20685,PEI,node_3040,node_16431,protonation,ionization,1.0
edge_20686,PEI,node_3040,node_16432,deprotonation,ionization,1.0
edge_20687,PEI,node_3041,node_16433,electron_loss,ionization,1.0
edge_20688,PEI,node_3041,node_16434,electron_gain,ionization,1.0
edge_20689,PEI,node_3041,node_16435,protonation,ionization,1.0
edge_20690,PEI,node_3041,node_16436,deprotonation,ionization,1.0
edge_20691,PEI,node_3042,node_16437,electron_loss,ionization,1.0
edge_20692,PEI,node_3042,node_16438,electron_gain,ionization,1.0
edge_20693,PEI,node_3042,node_16439,protonation,ionization,1.0
edge_20694,PEI,node_3042,node_16440,deprotonation,ionization,1.0
edge_20695,PEI,node_3043,node_16441,electron_loss,ionization,1.0
edge_20696,PEI,node_3043,node_16442,electron_gain,ionization,1.0
