compound_id,source_name,formula,ion_mode,charge,exact_mass,formula_score,best_path_score,path_count,mechanism_count,source_fragment_count,generation_types,best_node_id,representative_path,all_node_ids
PI,Polyimide (Kapton),C30H14N3O7,positive,1,528.0831748015,0.5043833650397,0.3343833650397,4,1,4,recombination,node_2478,node_0023 + node_0049 | dehydrogenative_coupling | electron_loss,node_2478;node_2870;node_3170;node_3474
PI,Polyimide (Kapton),C15H9N2O3,negative,-1,265.06131715764,0.502,0.502,1,1,1,fragment_h_shift,node_1113,"M | fragment C,H,N,O from C-O+C-N bond break(s) | h_shift_+1 | electron_gain",node_1113
PI,Polyimide (Kapton),C15H9N2O4,negative,-1,281.05623177721,0.502,0.502,1,1,1,fragment_h_shift,node_1105,"M | fragment C,H,N,O from C-O+C-N bond break(s) | h_shift_+1 | electron_gain",node_1105
PI,Polyimide (Kapton),C32H19N4O7,negative,-1,571.12537396708,0.501774925206584,0.411774925206584,2,1,2,recombination,node_2609,node_0025 + node_0037 | dehydrogenative_coupling | deprotonation,node_2609;node_2989
PI,Polyimide (Kapton),C37H20N4O7,negative,-1,632.13319899931,0.5015733602001381,0.3515733602001381,3,1,3,recombination,node_2681,node_0025 + node_0057 | dehydrogenative_coupling | deprotonation,node_2681;node_3277;node_3325
PI,Polyimide (Kapton),C51H29N4O11,positive,1,873.18328276766,0.5013633434464679,0.4113633434464679,2,1,2,recombination,node_3408,node_0035 + node_0042 | h_transfer_recombination | protonation,node_3408;node_3504
PI,Polyimide (Kapton),C21H9N2O4,negative,-1,353.05623177721,0.5,0.33,5,1,5,recombination,node_3777,node_0043 + node_0053 | dehydrogenative_coupling | deprotonation,node_3777;node_3905;node_4013;node_4169;node_4225
PI,Polyimide (Kapton),C27H13N2O4,negative,-1,429.08753190613,0.5,0.33,5,1,5,recombination,node_3761,node_0043 + node_0049 | dehydrogenative_coupling | deprotonation,node_3761;node_3809;node_4005;node_4085;node_4277
PI,Polyimide (Kapton),C27H13N2O5,negative,-1,445.0824465257,0.5,0.33,5,1,5,recombination,node_3873,node_0045 + node_0049 | dehydrogenative_coupling | deprotonation,node_3873;node_3921;node_3989;node_4069;node_4185
PI,Polyimide (Kapton),C45H22N5O10,negative,-1,792.13666692691,0.499572666614618,0.349572666614618,3,1,3,recombination,node_1665,node_0011 + node_0057 | single_dehydrogenative_recombination | deprotonation,node_1665;node_2209;node_3695
PI,Polyimide (Kapton),C31H17N4O7,positive,1,557.10972390262,0.498578055219476,0.32857805521947603,4,1,4,recombination,node_2686,node_0025 + node_0059 | dehydrogenative_coupling | electron_loss,node_2686;node_3050;node_3290;node_3574
PI,Polyimide (Kapton),C36H20N4O7,negative,-1,620.13319899931,0.497973360200138,0.327973360200138,4,1,4,recombination,node_4095,node_0049 + node_0058 | h_transfer_recombination | electron_gain,node_4095;node_4135;node_4319;node_4335
PI,Polyimide (Kapton),C42H23N4O8,positive,1,711.15158871557,0.497769682256886,0.347769682256886,3,1,3,recombination,node_4108,node_0049 + node_0061 | dehydrogenative_coupling | protonation,node_1966;node_2326;node_4108
PI,Polyimide (Kapton),C52H32N5O11,positive,1,902.20983186878,0.4955580336262439,0.40555803362624393,2,1,2,recombination,node_2620,node_0025 + node_0042 | h_transfer_recombination | protonation,node_2620;node_2736
PI,Polyimide (Kapton),C43H27N3O8,negative,-1,713.17981484006,0.495364037031988,0.40536403703198803,2,1,2,recombination,node_2603,node_0025 + node_0036 | h_transfer_recombination | electron_gain,node_2603;node_2727
PI,Polyimide (Kapton),C37H20N3O7,negative,-1,618.13012499488,0.492373975001024,0.402373975001024,2,1,2,recombination,node_2569,node_0025 + node_0027 | dehydrogenative_coupling | deprotonation,node_2569;node_3229
PI,Polyimide (Kapton),C12H8,negative,-1,152.06260025784,0.492,0.402,2,1,2,recombination,node_3787,node_0043 + node_0056 | h_transfer_recombination | electron_gain,node_3787;node_3843
PI,Polyimide (Kapton),C12H8O2,negative,-1,184.05242949698,0.492,0.402,2,1,2,recombination,node_3883,node_0045 + node_0052 | h_transfer_recombination | electron_gain,node_3883;node_3943
PI,Polyimide (Kapton),C27H14NO4,positive,1,416.09228293393,0.49000000000000005,0.34,3,1,3,recombination,node_2846,node_0027 + node_0047 | dehydrogenative_coupling | electron_loss,node_2846;node_3410;node_3458
PI,Polyimide (Kapton),C27H14NO5,positive,1,432.0871975535,0.49000000000000005,0.34,3,1,3,recombination,node_3138,node_0031 + node_0047 | dehydrogenative_coupling | electron_loss,node_3138;node_3418;node_3442
PI,Polyimide (Kapton),C28H17N2O4,positive,1,445.11883203505,0.49000000000000005,0.34,3,1,3,recombination,node_2622,node_0025 + node_0043 | dehydrogenative_coupling | electron_loss,node_2622;node_2670;node_3266
PI,Polyimide (Kapton),C28H17N2O5,positive,1,461.11374665462,0.49000000000000005,0.34,3,1,3,recombination,node_2630,node_0025 + node_0045 | dehydrogenative_coupling | electron_loss,node_2630;node_2654;node_3018
PI,Polyimide (Kapton),C19H11N2O6,negative,-1,363.06171108081,0.49,0.4,2,1,2,recombination,node_2515,node_0023 + node_0064 | h_transfer_recombination | electron_gain,node_2515;node_2563
