compound_id,source_name,formula,ion_mode,charge,exact_mass,formula_score,best_path_score,path_count,mechanism_count,source_fragment_count,generation_types,best_node_id,representative_path,all_node_ids,diagnostic_tag,formula_score_original
PDMS,Polydimethylsiloxane,CH5Si,positive,1,45.0160516958,0.4922,0.6220000000000001,1,1,1,feature_rule,node_0417,M | siloxane | siloxane_small_fragments | silox_CH5Si,node_0417,feature_supported_candidate,0.6220000000000001
PDMS,Polydimethylsiloxane,C2H3O,positive,1,43.01838971626,0.4882,0.6220000000000001,1,1,1,feature_rule,node_0402,M | oxygenated | oxygenated_small_fragments | o_small_C2H3O,node_0402,feature_supported_candidate,0.6220000000000001
PDMS,Polydimethylsiloxane,C2H3O2,negative,-1,59.01330433583,0.4882,0.6220000000000001,1,1,1,feature_rule,node_0415,M | oxygenated | oxygenated_small_fragments | o_small_C2H3O2,node_0415,feature_supported_candidate,0.6220000000000001
PDMS,Polydimethylsiloxane,C2H5O,positive,1,45.03403978072,0.4882,0.6220000000000001,1,1,1,feature_rule,node_0403,M | oxygenated | oxygenated_small_fragments | o_small_C2H5O,node_0403,feature_supported_candidate,0.6220000000000001
PDMS,Polydimethylsiloxane,C2H5O2,positive,1,61.02895440029,0.4882,0.6220000000000001,1,1,1,feature_rule,node_0408,M | oxygenated | oxygenated_small_fragments | o_small_C2H5O2,node_0408,feature_supported_candidate,0.6220000000000001
PDMS,Polydimethylsiloxane,C3H3O,positive,1,55.01838971626,0.4882,0.6220000000000001,1,1,1,feature_rule,node_0404,M | oxygenated | oxygenated_small_fragments | o_small_C3H3O,node_0404,feature_supported_candidate,0.6220000000000001
PDMS,Polydimethylsiloxane,C3H5O,positive,1,57.03403978072,0.4882,0.6220000000000001,1,1,1,feature_rule,node_0405,M | oxygenated | oxygenated_small_fragments | o_small_C3H5O,node_0405,feature_supported_candidate,0.6220000000000001
PDMS,Polydimethylsiloxane,C3H5O2,positive,1,73.02895440029,0.4882,0.6220000000000001,1,1,1,feature_rule,node_0409,M | oxygenated | oxygenated_small_fragments | o_small_C3H5O2,node_0409,feature_supported_candidate,0.6220000000000001
PDMS,Polydimethylsiloxane,C3H7O,positive,1,59.04968984518,0.4882,0.6220000000000001,1,1,1,feature_rule,node_0406,M | oxygenated | oxygenated_small_fragments | o_small_C3H7O,node_0406,feature_supported_candidate,0.6220000000000001
PDMS,Polydimethylsiloxane,C3H7O2,positive,1,75.04460446475,0.4882,0.6220000000000001,1,1,1,feature_rule,node_0410,M | oxygenated | oxygenated_small_fragments | o_small_C3H7O2,node_0410,feature_supported_candidate,0.6220000000000001
PDMS,Polydimethylsiloxane,CH3O,positive,1,31.01838971626,0.4882,0.6220000000000001,1,1,1,feature_rule,node_0401,M | oxygenated | oxygenated_small_fragments | o_small_CH3O,node_0401,feature_supported_candidate,0.6220000000000001
PDMS,Polydimethylsiloxane,CH3O2,positive,1,47.01330433583,0.4882,0.6220000000000001,1,1,1,feature_rule,node_0407,M | oxygenated | oxygenated_small_fragments | o_small_CH3O2,node_0407,feature_supported_candidate,0.6220000000000001
PDMS,Polydimethylsiloxane,CHO,positive,1,29.0027396518,0.4882,0.6220000000000001,1,1,1,feature_rule,node_0400,M | oxygenated | oxygenated_small_fragments | o_small_CHO,node_0400,feature_supported_candidate,0.6220000000000001
PDMS,Polydimethylsiloxane,CHO,negative,-1,29.0027396518,0.4882,0.6220000000000001,1,1,1,feature_rule,node_0411,M | oxygenated | oxygenated_small_fragments | o_small_CHO,node_0411,feature_supported_candidate,0.6220000000000001
PDMS,Polydimethylsiloxane,CHO2,negative,-1,44.99765427137,0.4882,0.6220000000000001,1,1,1,feature_rule,node_0414,M | oxygenated | oxygenated_small_fragments | o_small_CHO2,node_0414,feature_supported_candidate,0.6220000000000001
PDMS,Polydimethylsiloxane,C2H,negative,-1,25.00782503223,0.4748,0.6580000000000001,1,1,1,feature_rule,node_0395,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C2H,node_0395,generic_hydrocarbon_background,0.6580000000000001
PDMS,Polydimethylsiloxane,C2H3,positive,1,27.02347509669,0.4748,0.6580000000000001,1,1,1,feature_rule,node_0385,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C2H3,node_0385,generic_hydrocarbon_background,0.6580000000000001
PDMS,Polydimethylsiloxane,C2H5,positive,1,29.03912516115,0.4748,0.6580000000000001,1,1,1,feature_rule,node_0386,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C2H5,node_0386,generic_hydrocarbon_background,0.6580000000000001
PDMS,Polydimethylsiloxane,C3,negative,-1,36.0,0.4748,0.6580000000000001,1,1,1,feature_rule,node_0396,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C3,node_0396,generic_hydrocarbon_background,0.6580000000000001
PDMS,Polydimethylsiloxane,C3H,negative,-1,37.00782503223,0.4748,0.6580000000000001,1,1,1,feature_rule,node_0397,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C3H,node_0397,generic_hydrocarbon_background,0.6580000000000001
PDMS,Polydimethylsiloxane,C3H3,positive,1,39.02347509669,0.4748,0.6580000000000001,1,1,1,feature_rule,node_0387,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C3H3,node_0387,generic_hydrocarbon_background,0.6580000000000001
PDMS,Polydimethylsiloxane,C3H5,positive,1,41.03912516115,0.4748,0.6580000000000001,1,1,1,feature_rule,node_0388,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C3H5,node_0388,generic_hydrocarbon_background,0.6580000000000001
PDMS,Polydimethylsiloxane,C3H7,positive,1,43.05477522561,0.4748,0.6580000000000001,1,1,1,feature_rule,node_0389,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C3H7,node_0389,generic_hydrocarbon_background,0.6580000000000001
PDMS,Polydimethylsiloxane,C4,negative,-1,48.0,0.4748,0.6580000000000001,1,1,1,feature_rule,node_0398,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C4,node_0398,generic_hydrocarbon_background,0.6580000000000001
PDMS,Polydimethylsiloxane,C4H,negative,-1,49.00782503223,0.4748,0.6580000000000001,1,1,1,feature_rule,node_0399,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C4H,node_0399,generic_hydrocarbon_background,0.6580000000000001
PDMS,Polydimethylsiloxane,C4H3,positive,1,51.02347509669,0.4748,0.6580000000000001,1,1,1,feature_rule,node_0390,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C4H3,node_0390,generic_hydrocarbon_background,0.6580000000000001
