node_id,compound_id,source_name,formula,counts,exact_mass,ion_mode,charge,generation_type,operation,path,source_nodes,fragment_atom_indices,reaction_site_elements,broken_bonds,h_shift,recombination_loss,rule_pack,trigger_feature,evidence,structure_score,ionization_score,path_score,formula_score,path_count,mechanism_count,source_fragment_count
node_0575,PI,Polyimide (Kapton),C21H12NO4,"{""C"": 21, ""H"": 12, ""N"": 1, ""O"": 4}",342.07663286947,neutral,0,recombination,h_transfer_recombination,node_0031 + node_0056 | h_transfer_recombination,node_0031;node_0056,,C;O,3,0,,,,,0.4,0.0,0.18,0.0,1,1,0
node_0576,PI,Polyimide (Kapton),C30H14N3O7,"{""C"": 30, ""H"": 14, ""N"": 3, ""O"": 7}",528.0831748015,neutral,0,recombination,dehydrogenative_coupling,node_0031 + node_0057 | dehydrogenative_coupling,node_0031;node_0057,,C;N;O,3,-2,H2,,,,0.4,0.0,0.1143833650397,0.0,1,1,0
node_0577,PI,Polyimide (Kapton),C30H16N3O7,"{""C"": 30, ""H"": 16, ""N"": 3, ""O"": 7}",530.09882486596,neutral,0,recombination,h_transfer_recombination,node_0031 + node_0058 | h_transfer_recombination,node_0031;node_0058,,C;N;O,3,0,,,,,0.4,0.0,0.173980235026808,0.0,1,1,0
node_0578,PI,Polyimide (Kapton),C25H13N2O7,"{""C"": 25, ""H"": 13, ""N"": 2, ""O"": 7}",453.07227576484,neutral,0,recombination,dehydrogenative_coupling,node_0031 + node_0063 | dehydrogenative_coupling,node_0031;node_0063,,C;O,3,-2,H2,,,,0.4,0.0,0.12,0.0,1,1,0
node_0579,PI,Polyimide (Kapton),C25H15N2O7,"{""C"": 25, ""H"": 15, ""N"": 2, ""O"": 7}",455.0879258293,neutral,0,recombination,h_transfer_recombination,node_0031 + node_0064 | h_transfer_recombination,node_0031;node_0064,,C;O,3,0,,,,,0.4,0.0,0.18,0.0,1,1,0
node_0580,PI,Polyimide (Kapton),C31H19N3O7,"{""C"": 31, ""H"": 19, ""N"": 3, ""O"": 7}",545.12229996265,neutral,0,recombination,h_transfer_recombination,node_0032 + node_0033 | h_transfer_recombination,node_0032;node_0033,,C;O,2,0,,,,,0.48,0.0,0.21897554000747,0.0,1,1,0
node_0581,PI,Polyimide (Kapton),C36H20N2O8,"{""C"": 36, ""H"": 20, ""N"": 2, ""O"": 8}",608.12196561002,neutral,0,recombination,h_transfer_recombination,node_0032 + node_0035 | h_transfer_recombination,node_0032;node_0035,,C;O,2,0,,,,,0.48,0.0,0.206375606877996,0.0,1,1,0
node_0582,PI,Polyimide (Kapton),C21H12NO4,"{""C"": 21, ""H"": 12, ""N"": 1, ""O"": 4}",342.07663286947,neutral,0,recombination,h_transfer_recombination,node_0032 + node_0043 | h_transfer_recombination,node_0032;node_0043,,C;O,3,0,,,,,0.4,0.0,0.18,0.0,1,1,0
node_0583,PI,Polyimide (Kapton),C21H12NO5,"{""C"": 21, ""H"": 12, ""N"": 1, ""O"": 5}",358.07154748904,neutral,0,recombination,h_transfer_recombination,node_0032 + node_0045 | h_transfer_recombination,node_0032;node_0045,,C;O,3,0,,,,,0.4,0.0,0.18,0.0,1,1,0
node_0584,PI,Polyimide (Kapton),C27H16NO5,"{""C"": 27, ""H"": 16, ""N"": 1, ""O"": 5}",434.10284761796,neutral,0,recombination,h_transfer_recombination,node_0032 + node_0047 | h_transfer_recombination,node_0032;node_0047,,C;O,3,0,,,,,0.4,0.0,0.18,0.0,1,1,0
node_0585,PI,Polyimide (Kapton),C36H20N3O8,"{""C"": 36, ""H"": 20, ""N"": 3, ""O"": 8}",622.12503961445,neutral,0,recombination,h_transfer_recombination,node_0032 + node_0049 | h_transfer_recombination,node_0032;node_0049,,C;N;O,3,0,,,,,0.4,0.0,0.15557499207711,0.0,1,1,0
node_0586,PI,Polyimide (Kapton),C21H12NO5,"{""C"": 21, ""H"": 12, ""N"": 1, ""O"": 5}",358.07154748904,neutral,0,recombination,h_transfer_recombination,node_0032 + node_0051 | h_transfer_recombination,node_0032;node_0051,,C;O,3,0,,,,,0.4,0.0,0.18,0.0,1,1,0
node_0587,PI,Polyimide (Kapton),C21H12NO4,"{""C"": 21, ""H"": 12, ""N"": 1, ""O"": 4}",342.07663286947,neutral,0,recombination,h_transfer_recombination,node_0032 + node_0055 | h_transfer_recombination,node_0032;node_0055,,C;O,3,0,,,,,0.4,0.0,0.18,0.0,1,1,0
node_0588,PI,Polyimide (Kapton),C30H16N3O7,"{""C"": 30, ""H"": 16, ""N"": 3, ""O"": 7}",530.09882486596,neutral,0,recombination,h_transfer_recombination,node_0032 + node_0057 | h_transfer_recombination,node_0032;node_0057,,C;N;O,3,0,,,,,0.4,0.0,0.173980235026808,0.0,1,1,0
node_0589,PI,Polyimide (Kapton),C25H15N2O7,"{""C"": 25, ""H"": 15, ""N"": 2, ""O"": 7}",455.0879258293,neutral,0,recombination,h_transfer_recombination,node_0032 + node_0063 | h_transfer_recombination,node_0032;node_0063,,C;O,3,0,,,,,0.4,0.0,0.18,0.0,1,1,0
node_0590,PI,Polyimide (Kapton),C37H21N3O7,"{""C"": 37, ""H"": 21, ""N"": 3, ""O"": 7}",619.13795002711,neutral,0,recombination,dehydrogenative_coupling,node_0033 + node_0035 | dehydrogenative_coupling,node_0033;node_0035,,C,2,-2,H2,,,,0.48,0.0,0.14417240999457798,0.0,1,1,0
node_0591,PI,Polyimide (Kapton),C37H23N3O7,"{""C"": 37, ""H"": 23, ""N"": 3, ""O"": 7}",621.15360009157,neutral,0,recombination,h_transfer_recombination,node_0033 + node_0036 | h_transfer_recombination,node_0033;node_0036,,C,2,0,,,,,0.48,0.0,0.20376927998168598,0.0,1,1,0
node_0592,PI,Polyimide (Kapton),C26H16N4O6,"{""C"": 26, ""H"": 16, ""N"": 4, ""O"": 6}",480.10698425082,neutral,0,recombination,dehydrogenative_coupling,node_0033 + node_0037 | dehydrogenative_coupling,node_0033;node_0037,,C;N,2,-2,H2,,,,0.48,0.0,0.16799999999999998,0.0,1,1,0
node_0593,PI,Polyimide (Kapton),C26H18N4O6,"{""C"": 26, ""H"": 18, ""N"": 4, ""O"": 6}",482.12263431528,neutral,0,recombination,h_transfer_recombination,node_0033 + node_0038 | h_transfer_recombination,node_0033;node_0038,,C;N,2,0,,,,,0.48,0.0,0.22799999999999998,0.0,1,1,0
node_0594,PI,Polyimide (Kapton),C46H25N5O10,"{""C"": 46, ""H"": 25, ""N"": 5, ""O"": 10}",807.1601420236,neutral,0,recombination,dehydrogenative_coupling,node_0033 + node_0041 | dehydrogenative_coupling,node_0033;node_0041,,C;N,2,-2,H2,,,,0.48,0.0,0.10656797159527999,0.0,1,1,0
node_0595,PI,Polyimide (Kapton),C46H27N5O10,"{""C"": 46, ""H"": 27, ""N"": 5, ""O"": 10}",809.17579208806,neutral,0,recombination,h_transfer_recombination,node_0033 + node_0042 | h_transfer_recombination,node_0033;node_0042,,C;N,2,0,,,,,0.48,0.0,0.16616484158238798,0.0,1,1,0
node_0596,PI,Polyimide (Kapton),C22H13N2O3,"{""C"": 22, ""H"": 13, ""N"": 2, ""O"": 3}",353.09261728656,neutral,0,recombination,dehydrogenative_coupling,node_0033 + node_0043 | dehydrogenative_coupling,node_0033;node_0043,,C,3,-2,H2,,,,0.4,0.0,0.12,0.0,1,1,0
node_0597,PI,Polyimide (Kapton),C22H15N2O3,"{""C"": 22, ""H"": 15, ""N"": 2, ""O"": 3}",355.10826735102,neutral,0,recombination,h_transfer_recombination,node_0033 + node_0044 | h_transfer_recombination,node_0033;node_0044,,C,3,0,,,,,0.4,0.0,0.18,0.0,1,1,0
node_0598,PI,Polyimide (Kapton),C22H13N2O4,"{""C"": 22, ""H"": 13, ""N"": 2, ""O"": 4}",369.08753190613,neutral,0,recombination,dehydrogenative_coupling,node_0033 + node_0045 | dehydrogenative_coupling,node_0033;node_0045,,C;O,3,-2,H2,,,,0.4,0.0,0.12,0.0,1,1,0
node_0599,PI,Polyimide (Kapton),C22H15N2O4,"{""C"": 22, ""H"": 15, ""N"": 2, ""O"": 4}",371.10318197059,neutral,0,recombination,h_transfer_recombination,node_0033 + node_0046 | h_transfer_recombination,node_0033;node_0046,,C;O,3,0,,,,,0.4,0.0,0.18,0.0,1,1,0
node_0600,PI,Polyimide (Kapton),C28H17N2O4,"{""C"": 28, ""H"": 17, ""N"": 2, ""O"": 4}",445.11883203505,neutral,0,recombination,dehydrogenative_coupling,node_0033 + node_0047 | dehydrogenative_coupling,node_0033;node_0047,,C,3,-2,H2,,,,0.4,0.0,0.12,0.0,1,1,0
node_0601,PI,Polyimide (Kapton),C28H19N2O4,"{""C"": 28, ""H"": 19, ""N"": 2, ""O"": 4}",447.13448209951,neutral,0,recombination,h_transfer_recombination,node_0033 + node_0048 | h_transfer_recombination,node_0033;node_0048,,C,3,0,,,,,0.4,0.0,0.18,0.0,1,1,0
node_0602,PI,Polyimide (Kapton),C37H21N4O7,"{""C"": 37, ""H"": 21, ""N"": 4, ""O"": 7}",633.14102403154,neutral,0,recombination,dehydrogenative_coupling,node_0033 + node_0049 | dehydrogenative_coupling,node_0033;node_0049,,C;N,3,-2,H2,,,,0.4,0.0,0.09337179519369199,0.0,1,1,0
node_0603,PI,Polyimide (Kapton),C37H23N4O7,"{""C"": 37, ""H"": 23, ""N"": 4, ""O"": 7}",635.156674096,neutral,0,recombination,h_transfer_recombination,node_0033 + node_0050 | h_transfer_recombination,node_0033;node_0050,,C;N,3,0,,,,,0.4,0.0,0.1529686651808,0.0,1,1,0
