edge_id,compound_id,source_node,target_node,operation,operation_type,weight
edge_6886,ETFE,node_0749,node_4941,deprotonation,ionization,1.0
edge_6887,ETFE,node_0750,node_4942,electron_loss,ionization,1.0
edge_6888,ETFE,node_0750,node_4943,electron_gain,ionization,1.0
edge_6889,ETFE,node_0750,node_4944,protonation,ionization,1.0
edge_6890,ETFE,node_0750,node_4945,deprotonation,ionization,1.0
edge_6891,ETFE,node_0751,node_4946,electron_loss,ionization,1.0
edge_6892,ETFE,node_0751,node_4947,electron_gain,ionization,1.0
edge_6893,ETFE,node_0751,node_4948,protonation,ionization,1.0
edge_6894,ETFE,node_0751,node_4949,deprotonation,ionization,1.0
edge_6895,ETFE,node_0752,node_4950,electron_loss,ionization,1.0
edge_6896,ETFE,node_0752,node_4951,electron_gain,ionization,1.0
edge_6897,ETFE,node_0752,node_4952,protonation,ionization,1.0
edge_6898,ETFE,node_0752,node_4953,deprotonation,ionization,1.0
edge_6899,ETFE,node_0753,node_4954,electron_loss,ionization,1.0
edge_6900,ETFE,node_0753,node_4955,electron_gain,ionization,1.0
edge_6901,ETFE,node_0753,node_4956,protonation,ionization,1.0
edge_6902,ETFE,node_0753,node_4957,deprotonation,ionization,1.0
edge_6903,ETFE,node_0754,node_4958,electron_loss,ionization,1.0
edge_6904,ETFE,node_0754,node_4959,electron_gain,ionization,1.0
edge_6905,ETFE,node_0754,node_4960,protonation,ionization,1.0
edge_6906,ETFE,node_0754,node_4961,deprotonation,ionization,1.0
edge_6907,ETFE,node_0755,node_4962,electron_loss,ionization,1.0
edge_6908,ETFE,node_0755,node_4963,electron_gain,ionization,1.0
edge_6909,ETFE,node_0755,node_4964,protonation,ionization,1.0
edge_6910,ETFE,node_0755,node_4965,deprotonation,ionization,1.0
edge_6911,ETFE,node_0756,node_4966,electron_loss,ionization,1.0
edge_6912,ETFE,node_0756,node_4967,electron_gain,ionization,1.0
edge_6913,ETFE,node_0756,node_4968,protonation,ionization,1.0
edge_6914,ETFE,node_0756,node_4969,deprotonation,ionization,1.0
edge_6915,ETFE,node_0757,node_4970,electron_loss,ionization,1.0
edge_6916,ETFE,node_0757,node_4971,electron_gain,ionization,1.0
edge_6917,ETFE,node_0757,node_4972,protonation,ionization,1.0
edge_6918,ETFE,node_0757,node_4973,deprotonation,ionization,1.0
edge_6919,ETFE,node_0758,node_4974,electron_loss,ionization,1.0
edge_6920,ETFE,node_0758,node_4975,electron_gain,ionization,1.0
edge_6921,ETFE,node_0758,node_4976,protonation,ionization,1.0
edge_6922,ETFE,node_0758,node_4977,deprotonation,ionization,1.0
edge_6923,ETFE,node_0759,node_4978,electron_loss,ionization,1.0
edge_6924,ETFE,node_0759,node_4979,electron_gain,ionization,1.0
edge_6925,ETFE,node_0759,node_4980,protonation,ionization,1.0
edge_6926,ETFE,node_0759,node_4981,deprotonation,ionization,1.0
edge_6927,ETFE,node_0760,node_4982,electron_loss,ionization,1.0
edge_6928,ETFE,node_0760,node_4983,electron_gain,ionization,1.0
edge_6929,ETFE,node_0760,node_4984,protonation,ionization,1.0
edge_6930,ETFE,node_0760,node_4985,deprotonation,ionization,1.0
edge_6931,ETFE,node_0761,node_4986,electron_loss,ionization,1.0
edge_6932,ETFE,node_0761,node_4987,electron_gain,ionization,1.0
edge_6933,ETFE,node_0761,node_4988,protonation,ionization,1.0
edge_6934,ETFE,node_0761,node_4989,deprotonation,ionization,1.0
edge_6935,ETFE,node_0762,node_4990,electron_loss,ionization,1.0
edge_6936,ETFE,node_0762,node_4991,electron_gain,ionization,1.0
edge_6937,ETFE,node_0762,node_4992,protonation,ionization,1.0
edge_6938,ETFE,node_0762,node_4993,deprotonation,ionization,1.0
edge_6939,ETFE,node_0763,node_4994,electron_loss,ionization,1.0
edge_6940,ETFE,node_0763,node_4995,electron_gain,ionization,1.0
edge_6941,ETFE,node_0763,node_4996,protonation,ionization,1.0
edge_6942,ETFE,node_0763,node_4997,deprotonation,ionization,1.0
edge_6943,ETFE,node_0764,node_4998,electron_loss,ionization,1.0
edge_6944,ETFE,node_0764,node_4999,electron_gain,ionization,1.0
edge_6945,ETFE,node_0764,node_5000,protonation,ionization,1.0
edge_6946,ETFE,node_0764,node_5001,deprotonation,ionization,1.0
edge_6947,ETFE,node_0765,node_5002,electron_loss,ionization,1.0
edge_6948,ETFE,node_0765,node_5003,electron_gain,ionization,1.0
edge_6949,ETFE,node_0765,node_5004,protonation,ionization,1.0
edge_6950,ETFE,node_0765,node_5005,deprotonation,ionization,1.0
edge_6951,ETFE,node_0766,node_5006,electron_loss,ionization,1.0
edge_6952,ETFE,node_0766,node_5007,electron_gain,ionization,1.0
edge_6953,ETFE,node_0766,node_5008,protonation,ionization,1.0
edge_6954,ETFE,node_0766,node_5009,deprotonation,ionization,1.0
edge_6955,ETFE,node_0767,node_5010,electron_loss,ionization,1.0
edge_6956,ETFE,node_0767,node_5011,electron_gain,ionization,1.0
edge_6957,ETFE,node_0767,node_5012,protonation,ionization,1.0
edge_6958,ETFE,node_0767,node_5013,deprotonation,ionization,1.0
edge_6959,ETFE,node_0768,node_5014,electron_loss,ionization,1.0
edge_6960,ETFE,node_0768,node_5015,electron_gain,ionization,1.0
edge_6961,ETFE,node_0768,node_5016,protonation,ionization,1.0
edge_6962,ETFE,node_0768,node_5017,deprotonation,ionization,1.0
edge_6963,ETFE,node_0769,node_5018,electron_loss,ionization,1.0
edge_6964,ETFE,node_0769,node_5019,electron_gain,ionization,1.0
edge_6965,ETFE,node_0769,node_5020,protonation,ionization,1.0
edge_6966,ETFE,node_0769,node_5021,deprotonation,ionization,1.0
edge_6967,ETFE,node_0770,node_5022,electron_loss,ionization,1.0
edge_6968,ETFE,node_0770,node_5023,electron_gain,ionization,1.0
edge_6969,ETFE,node_0770,node_5024,protonation,ionization,1.0
edge_6970,ETFE,node_0770,node_5025,deprotonation,ionization,1.0
edge_6971,ETFE,node_0771,node_5026,electron_loss,ionization,1.0
edge_6972,ETFE,node_0771,node_5027,electron_gain,ionization,1.0
edge_6973,ETFE,node_0771,node_5028,protonation,ionization,1.0
edge_6974,ETFE,node_0771,node_5029,deprotonation,ionization,1.0
edge_6975,ETFE,node_0772,node_5030,electron_loss,ionization,1.0
edge_6976,ETFE,node_0772,node_5031,electron_gain,ionization,1.0
edge_6977,ETFE,node_0772,node_5032,protonation,ionization,1.0
edge_6978,ETFE,node_0772,node_5033,deprotonation,ionization,1.0
edge_6979,ETFE,node_0773,node_5034,electron_loss,ionization,1.0
edge_6980,ETFE,node_0773,node_5035,electron_gain,ionization,1.0
edge_6981,ETFE,node_0773,node_5036,protonation,ionization,1.0
edge_6982,ETFE,node_0773,node_5037,deprotonation,ionization,1.0
edge_6983,ETFE,node_0774,node_5038,electron_loss,ionization,1.0
edge_6984,ETFE,node_0774,node_5039,electron_gain,ionization,1.0
edge_6985,ETFE,node_0774,node_5040,protonation,ionization,1.0
edge_6986,ETFE,node_0774,node_5041,deprotonation,ionization,1.0
edge_6987,ETFE,node_0775,node_5042,electron_loss,ionization,1.0
edge_6988,ETFE,node_0775,node_5043,electron_gain,ionization,1.0
edge_6989,ETFE,node_0775,node_5044,protonation,ionization,1.0
edge_6990,ETFE,node_0775,node_5045,deprotonation,ionization,1.0
edge_6991,ETFE,node_0776,node_5046,electron_loss,ionization,1.0
edge_6992,ETFE,node_0776,node_5047,electron_gain,ionization,1.0
edge_6993,ETFE,node_0776,node_5048,protonation,ionization,1.0
edge_6994,ETFE,node_0776,node_5049,deprotonation,ionization,1.0
edge_6995,ETFE,node_0777,node_5050,electron_loss,ionization,1.0
edge_6996,ETFE,node_0777,node_5051,electron_gain,ionization,1.0
edge_6997,ETFE,node_0777,node_5052,protonation,ionization,1.0
edge_6998,ETFE,node_0777,node_5053,deprotonation,ionization,1.0
edge_6999,ETFE,node_0778,node_5054,electron_loss,ionization,1.0
edge_7000,ETFE,node_0778,node_5055,electron_gain,ionization,1.0
edge_7001,ETFE,node_0778,node_5056,protonation,ionization,1.0
edge_7002,ETFE,node_0778,node_5057,deprotonation,ionization,1.0
edge_7003,ETFE,node_0779,node_5058,electron_loss,ionization,1.0
edge_7004,ETFE,node_0779,node_5059,electron_gain,ionization,1.0
edge_7005,ETFE,node_0779,node_5060,protonation,ionization,1.0
edge_7006,ETFE,node_0779,node_5061,deprotonation,ionization,1.0
edge_7007,ETFE,node_0780,node_5062,electron_loss,ionization,1.0
edge_7008,ETFE,node_0780,node_5063,electron_gain,ionization,1.0
edge_7009,ETFE,node_0780,node_5064,protonation,ionization,1.0
edge_7010,ETFE,node_0780,node_5065,deprotonation,ionization,1.0
edge_7011,ETFE,node_0781,node_5066,electron_loss,ionization,1.0
edge_7012,ETFE,node_0781,node_5067,electron_gain,ionization,1.0
edge_7013,ETFE,node_0781,node_5068,protonation,ionization,1.0
edge_7014,ETFE,node_0781,node_5069,deprotonation,ionization,1.0
edge_7015,ETFE,node_0782,node_5070,electron_loss,ionization,1.0
edge_7016,ETFE,node_0782,node_5071,electron_gain,ionization,1.0
edge_7017,ETFE,node_0782,node_5072,protonation,ionization,1.0
edge_7018,ETFE,node_0782,node_5073,deprotonation,ionization,1.0
edge_7019,ETFE,node_0783,node_5074,electron_loss,ionization,1.0
edge_7020,ETFE,node_0783,node_5075,electron_gain,ionization,1.0
edge_7021,ETFE,node_0783,node_5076,protonation,ionization,1.0
edge_7022,ETFE,node_0783,node_5077,deprotonation,ionization,1.0
edge_7023,ETFE,node_0784,node_5078,electron_loss,ionization,1.0
edge_7024,ETFE,node_0784,node_5079,electron_gain,ionization,1.0
edge_7025,ETFE,node_0784,node_5080,protonation,ionization,1.0
edge_7026,ETFE,node_0784,node_5081,deprotonation,ionization,1.0
edge_7027,ETFE,node_0785,node_5082,electron_loss,ionization,1.0
edge_7028,ETFE,node_0785,node_5083,electron_gain,ionization,1.0
edge_7029,ETFE,node_0785,node_5084,protonation,ionization,1.0
edge_7030,ETFE,node_0785,node_5085,deprotonation,ionization,1.0
edge_7031,ETFE,node_0786,node_5086,electron_loss,ionization,1.0
edge_7032,ETFE,node_0786,node_5087,electron_gain,ionization,1.0
edge_7033,ETFE,node_0786,node_5088,protonation,ionization,1.0
edge_7034,ETFE,node_0786,node_5089,deprotonation,ionization,1.0
edge_7035,ETFE,node_0787,node_5090,electron_loss,ionization,1.0
edge_7036,ETFE,node_0787,node_5091,electron_gain,ionization,1.0
edge_7037,ETFE,node_0787,node_5092,protonation,ionization,1.0
edge_7038,ETFE,node_0787,node_5093,deprotonation,ionization,1.0
edge_7039,ETFE,node_0788,node_5094,electron_loss,ionization,1.0
edge_7040,ETFE,node_0788,node_5095,electron_gain,ionization,1.0
edge_7041,ETFE,node_0788,node_5096,protonation,ionization,1.0
edge_7042,ETFE,node_0788,node_5097,deprotonation,ionization,1.0
edge_7043,ETFE,node_0789,node_5098,electron_loss,ionization,1.0
edge_7044,ETFE,node_0789,node_5099,electron_gain,ionization,1.0
edge_7045,ETFE,node_0789,node_5100,protonation,ionization,1.0
edge_7046,ETFE,node_0789,node_5101,deprotonation,ionization,1.0
edge_7047,ETFE,node_0790,node_5102,electron_loss,ionization,1.0
edge_7048,ETFE,node_0790,node_5103,electron_gain,ionization,1.0
edge_7049,ETFE,node_0790,node_5104,protonation,ionization,1.0
edge_7050,ETFE,node_0790,node_5105,deprotonation,ionization,1.0
edge_7051,ETFE,node_0791,node_5106,electron_loss,ionization,1.0
edge_7052,ETFE,node_0791,node_5107,electron_gain,ionization,1.0
