edge_id,compound_id,source_node,target_node,operation,operation_type,weight
edge_4107,Nomex,node_0326,node_2730,protonation,ionization,1.0
edge_4108,Nomex,node_0326,node_2731,deprotonation,ionization,1.0
edge_4109,Nomex,node_0327,node_2732,electron_loss,ionization,1.0
edge_4110,Nomex,node_0327,node_2733,electron_gain,ionization,1.0
edge_4111,Nomex,node_0327,node_2734,protonation,ionization,1.0
edge_4112,Nomex,node_0327,node_2735,deprotonation,ionization,1.0
edge_4113,Nomex,node_0328,node_2736,electron_loss,ionization,1.0
edge_4114,Nomex,node_0328,node_2737,electron_gain,ionization,1.0
edge_4115,Nomex,node_0328,node_2738,protonation,ionization,1.0
edge_4116,Nomex,node_0328,node_2739,deprotonation,ionization,1.0
edge_4117,Nomex,node_0329,node_2740,electron_loss,ionization,1.0
edge_4118,Nomex,node_0329,node_2741,electron_gain,ionization,1.0
edge_4119,Nomex,node_0329,node_2742,protonation,ionization,1.0
edge_4120,Nomex,node_0329,node_2743,deprotonation,ionization,1.0
edge_4121,Nomex,node_0330,node_2744,electron_loss,ionization,1.0
edge_4122,Nomex,node_0330,node_2745,electron_gain,ionization,1.0
edge_4123,Nomex,node_0330,node_2746,protonation,ionization,1.0
edge_4124,Nomex,node_0330,node_2747,deprotonation,ionization,1.0
edge_4125,Nomex,node_0331,node_2748,electron_loss,ionization,1.0
edge_4126,Nomex,node_0331,node_2749,electron_gain,ionization,1.0
edge_4127,Nomex,node_0331,node_2750,protonation,ionization,1.0
edge_4128,Nomex,node_0331,node_2751,deprotonation,ionization,1.0
edge_4129,Nomex,node_0332,node_2752,electron_loss,ionization,1.0
edge_4130,Nomex,node_0332,node_2753,electron_gain,ionization,1.0
edge_4131,Nomex,node_0332,node_2754,protonation,ionization,1.0
edge_4132,Nomex,node_0332,node_2755,deprotonation,ionization,1.0
edge_4133,Nomex,node_0333,node_2756,electron_loss,ionization,1.0
edge_4134,Nomex,node_0333,node_2757,electron_gain,ionization,1.0
edge_4135,Nomex,node_0333,node_2758,protonation,ionization,1.0
edge_4136,Nomex,node_0333,node_2759,deprotonation,ionization,1.0
edge_4137,Nomex,node_0334,node_2760,electron_loss,ionization,1.0
edge_4138,Nomex,node_0334,node_2761,electron_gain,ionization,1.0
edge_4139,Nomex,node_0334,node_2762,protonation,ionization,1.0
edge_4140,Nomex,node_0334,node_2763,deprotonation,ionization,1.0
edge_4141,Nomex,node_0335,node_2764,electron_loss,ionization,1.0
edge_4142,Nomex,node_0335,node_2765,electron_gain,ionization,1.0
edge_4143,Nomex,node_0335,node_2766,protonation,ionization,1.0
