compound_id,source_name,formula,ion_mode,charge,exact_mass,formula_score,best_path_score,path_count,mechanism_count,source_fragment_count,generation_types,best_node_id,representative_path,all_node_ids
Nomex,meta-Aramid,C6H5N2,negative,-1,105.04527317001,0.744,0.6439999999999999,2,2,1,fragment;fragment_h_shift,node_1586,"M | fragment C,H,N from C-N+C-N bond break(s) | deprotonation",node_1586;node_1683
Nomex,meta-Aramid,C6H7N2,positive,1,107.06092323447,0.744,0.6439999999999999,2,2,1,fragment;fragment_h_shift,node_1585,"M | fragment C,H,N from C-N+C-N bond break(s) | protonation",node_1585;node_1684
Nomex,meta-Aramid,C15H12N2O3,positive,1,268.08479225433,0.736,0.516,45,2,45,parent;recombination,node_1730,node_0002 + node_0029 | single_dehydrogenative_recombination | protonation,node_1527;node_1730;node_1766;node_1822;node_1850;node_1902;node_1982;node_2082;node_2166;node_2246;node_2334;node_2434;node_2526;node_2586;node_2626;node_2682;node_2718;node_3953;node_4025;node_4135;node_4171;node_4279;node_4357;node_4399;node_4451;node_4595;node_4801;node_4897;node_4915;node_5067;node_5229;node_5253;node_5317;node_5329;node_5343;node_5471;node_5589;node_5693;node_5735;node_5845;node_5855;node_5909;node_6091;node_6177;node_6195
Nomex,meta-Aramid,C2H2O2,positive,1,58.0054793036,0.736,0.5660000000000001,6,1,6,recombination,node_1770,node_0002 + node_0049 | single_dehydrogenative_recombination | protonation,node_1770;node_2678;node_4032;node_4117;node_4175;node_6328
Nomex,meta-Aramid,C2H3NO2,positive,1,73.01637834026,0.736,0.5660000000000001,13,1,13,recombination,node_1734,node_0002 + node_0031 | single_dehydrogenative_recombination | protonation,node_1734;node_1898;node_1926;node_2686;node_3961;node_4105;node_4139;node_4213;node_4499;node_4577;node_4619;node_6316;node_6380
Nomex,meta-Aramid,C9H6O3,positive,1,162.03169405209002,0.736,0.5660000000000001,9,1,9,recombination,node_1754,node_0002 + node_0041 | single_dehydrogenative_recombination | protonation,node_1754;node_2310;node_2350;node_2706;node_4001;node_4159;node_5563;node_5649;node_5679
Nomex,meta-Aramid,C9H7NO3,positive,1,177.04259308875,0.736,0.5660000000000001,15,1,15,recombination,node_1746,node_0002 + node_0037 | single_dehydrogenative_recombination | protonation,node_1746;node_1910;node_2158;node_2186;node_2318;node_2698;node_3985;node_4151;node_4467;node_4603;node_5179;node_5257;node_5291;node_5637;node_5717
Nomex,meta-Aramid,C9H8N2O3,positive,1,192.05349212541,0.736,0.5660000000000001,11,1,11,recombination,node_1758,node_0002 + node_0043 | single_dehydrogenative_recombination | protonation,node_1758;node_2402;node_2442;node_2710;node_4009;node_4163;node_5245;node_5325;node_5751;node_5837;node_5863
Nomex,meta-Aramid,C13H11N2O,negative,-1,211.08713798296,0.722,0.502,11,2,11,fragment_h_shift;recombination,node_1693,"M | fragment C,H,N,O from C-N+C-C bond break(s) | h_shift_+1 | electron_gain",node_1693;node_4972;node_5012;node_5096;node_5116;node_5408;node_5468;node_5504;node_5532;node_5944;node_6044
Nomex,meta-Aramid,C13H9N2O,positive,1,209.0714879185,0.722,0.502,27,2,27,fragment_h_shift;recombination,node_1690,"M | fragment C,H,N,O from C-N+C-C bond break(s) | h_shift_-1 | electron_loss",node_1690;node_2836;node_2848;node_2928;node_2996;node_3024;node_3176;node_3280;node_3292;node_3352;node_3372;node_3628;node_3648;node_3817;node_3913;node_4967;node_5007;node_5403;node_5463;node_5939;node_6436;node_6460;node_6600;node_6664;node_6724;node_6956;node_6980
Nomex,meta-Aramid,C15H11N2O3,negative,-1,267.0769672221,0.706,0.48599999999999993,45,2,45,parent;recombination,node_3956,node_0027 + node_0030 | h_transfer_recombination | deprotonation,node_1530;node_1729;node_1765;node_1821;node_1849;node_1901;node_1981;node_2081;node_2165;node_2245;node_2333;node_2433;node_2525;node_2585;node_2625;node_2681;node_2717;node_3956;node_4028;node_4138;node_4174;node_4282;node_4356;node_4402;node_4454;node_4598;node_4800;node_4896;node_4918;node_5070;node_5228;node_5252;node_5316;node_5328;node_5346;node_5474;node_5588;node_5692;node_5738;node_5844;node_5858;node_5908;node_6094;node_6176;node_6198
Nomex,meta-Aramid,C15H13N2O3,positive,1,269.09261728656,0.706,0.48599999999999993,17,2,17,parent;recombination,node_3955,node_0027 + node_0030 | h_transfer_recombination | protonation,node_1529;node_3955;node_4027;node_4137;node_4173;node_4281;node_4401;node_4453;node_4597;node_4917;node_5069;node_5345;node_5473;node_5737;node_5857;node_6093;node_6197
Nomex,meta-Aramid,C2H2NO2,positive,1,72.00855330803,0.706,0.5359999999999999,17,1,17,recombination,node_3959,node_0027 + node_0031 | dehydrogenative_coupling | protonation,node_1732;node_1806;node_1896;node_1924;node_2684;node_2754;node_3490;node_3534;node_3681;node_3959;node_4103;node_4211;node_4497;node_4575;node_6314;node_6378;node_7156
Nomex,meta-Aramid,C2H2NO2,negative,-1,72.00855330803,0.706,0.5359999999999999,13,1,13,recombination,node_3964,node_0027 + node_0032 | h_transfer_recombination | deprotonation,node_1733;node_1897;node_1925;node_2685;node_3964;node_4104;node_4142;node_4212;node_4502;node_4576;node_4622;node_6315;node_6379
Nomex,meta-Aramid,C2H4NO2,positive,1,74.02420337249,0.706,0.5359999999999999,4,1,4,recombination,node_3963,node_0027 + node_0032 | h_transfer_recombination | protonation,node_3963;node_4141;node_4501;node_4621
Nomex,meta-Aramid,C2HO2,positive,1,56.99765427137,0.706,0.5359999999999999,7,1,7,recombination,node_4031,node_0027 + node_0049 | dehydrogenative_coupling | protonation,node_1768;node_2676;node_3674;node_3717;node_4031;node_4115;node_6326
Nomex,meta-Aramid,C2HO2,negative,-1,56.99765427137,0.706,0.5359999999999999,6,1,6,recombination,node_4035,node_0027 + node_0050 | h_transfer_recombination | deprotonation,node_1769;node_2677;node_4035;node_4116;node_4178;node_6327
Nomex,meta-Aramid,C8H7O2,positive,1,135.04460446475,0.706,0.5359999999999999,4,1,4,recombination,node_4019,node_0027 + node_0046 | h_transfer_recombination | protonation,node_4019;node_4169;node_5929;node_6037
Nomex,meta-Aramid,C8H8NO2,positive,1,150.05550350141,0.706,0.5359999999999999,6,1,6,recombination,node_3979,node_0027 + node_0036 | h_transfer_recombination | protonation,node_3979;node_4149;node_4485;node_4613;node_4965;node_5093
Nomex,meta-Aramid,C8H9N2O2,positive,1,165.06640253807,0.706,0.5359999999999999,6,1,6,recombination,node_3995,node_0027 + node_0040 | h_transfer_recombination | protonation,node_3995;node_4157;node_4461;node_4601;node_5377;node_5489
Nomex,meta-Aramid,C9H5O3,positive,1,161.02386901986,0.706,0.5359999999999999,8,1,8,recombination,node_3999,node_0027 + node_0041 | dehydrogenative_coupling | protonation,node_1752;node_2308;node_2348;node_2704;node_3701;node_3999;node_5561;node_5647
