Area Statistics
	Mass (u)	PET0 (+PET0-Floodgun-1) *
(null)	248.0211	18675.91
(null)	248.8240	1579.56
(null)	249.0520	4671.03
(null)	250.0409	26821.19
(null)	251.0471	10462.76
(null)	252.0621	19106.94
(null)	253.0670	9093.96
(null)	259.0321	4670.67
(null)	261.0261	19155.57
(null)	262.0339	7110.70
(null)	263.0525	23424.91
(null)	264.0678	4730.56
(null)	265.0662	9517.68
(null)	270.0066	2542.43
(null)	272.0185	9412.19
(null)	274.0324	16880.86
(null)	275.0508	4493.05
(null)	276.0568	15940.56
(null)	277.0570	7549.34
(null)	278.0721	2868.66
(null)	280.7764	879.80
(null)	284.0809	1611.90
(null)	285.0189	11207.50
(null)	287.0448	13696.62
(null)	288.0727	1950.72
(null)	288.7821	1445.52
(null)	289.0684	9486.10
(null)	290.0690	3396.05
(null)	293.9887	2075.64
(null)	296.0633	2448.43
(null)	297.0677	4346.22
(null)	298.0295	10815.74
(null)	299.0587	2396.74
(null)	300.0506	11871.16
(null)	301.0784	2360.22
(null)	302.0742	3710.65
(null)	304.7734	902.77
(null)	309.0189	5959.77
(null)	311.0570	5600.46
(null)	312.0534	3716.66
(null)	313.0635	8988.09
(null)	314.0601	3185.85
(null)	320.0052	2986.24
(null)	324.0461	7105.25
(null)	325.0577	4170.75
(null)	327.0910	1547.53
(null)	333.0120	3348.89
(null)	335.0261	5667.23
(null)	336.0385	2011.09
(null)	336.7286	1154.46
(null)	337.0541	6113.66
(null)	338.0548	2582.30
(null)	339.0738	3557.53
(null)	340.0877	1338.04
(null)	341.0722	6363.61
(null)	342.0767	1718.23
(null)	343.9979	1784.40
(null)	344.7335	860.58
(null)	346.0144	3511.78
(null)	348.0656	1904.43
(null)	349.0456	2048.32
(null)	350.0599	4142.44
(null)	351.0757	1559.99
(null)	355.0689	884.34
(null)	357.0073	2121.16
(null)	360.7281	543.37
(null)	361.0443	4224.98
(null)	362.0682	1134.57
(null)	363.0692	2611.91
(null)	369.0886	1040.36
(null)	370.0128	1742.51
(null)	374.0559	2932.34
(null)	376.0712	1373.44
(null)	377.0760	901.82
(null)	377.1398	109.13
(null)	380.9989	632.60
(null)	383.0693	1123.38
(null)	385.0720	4902.35
(null)	386.0663	1673.97
(null)	398.0439	2138.02
(null)	399.0678	1548.97
(null)	401.0828	823.74
(null)	409.0381	1574.95
(null)	411.0730	2065.08
(null)	412.0798	723.55
(null)	413.0965	882.86
(null)	420.0264	787.77
(null)	427.0949	961.92
(null)	428.0917	383.16
(null)	429.1068	649.51
(null)	435.0739	537.62
(null)	459.0611	684.51
(null)	577.1264	400.15


