formula,counts,exact_mass,ion_mode,charge,source_compound_id,source_name,generation_type,path,broken_bonds,h_shift,adduct,neutral_losses,fragment_atom_indices,score
C30H20S5,"{'C': 30, 'S': 5, 'H': 20}",540.0168565166,neutral,0,PPS,Polyphenylene Sulfide,h_shift,break 1 bond(s) + 4×repeat | H shift -1 | ; | break 1 bond(s) + 4×repeat | H shift -1,1,-1,,,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13]",0.22999999999999993
C30H21S5,"{'C': 30, 'S': 5, 'H': 21}",541.02468154883,positive,1,PPS,Polyphenylene Sulfide,adduct,break 1 bond(s) + 4×repeat | H shift -1 | H | ; | break 1 bond(s) + 4×repeat | H shift -1 | H,1,-1,H,,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13]",0.22999999999999993
C30H21S5,"{'C': 30, 'S': 5, 'H': 21}",541.02468154883,negative,-1,PPS,Polyphenylene Sulfide,adduct,break 1 bond(s) + 4×repeat | H shift +1 | -H | ; | break 1 bond(s) + 4×repeat | H shift +1 | -H,1,1,-H,,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13]",0.22999999999999993
C30H22S5,"{'C': 30, 'S': 5, 'H': 22}",542.03250658106,neutral,0,PPS,Polyphenylene Sulfide,h_shift,break 1 bond(s) + 4×repeat | H shift +1 | ; | break 1 bond(s) + 4×repeat | H shift +1,1,1,,,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13]",0.22999999999999993
C30H23S5,"{'C': 30, 'S': 5, 'H': 23}",543.04033161329,positive,1,PPS,Polyphenylene Sulfide,adduct,break 1 bond(s) + 4×repeat | H shift +1 | H | ; | break 1 bond(s) + 4×repeat | H shift +1 | H,1,1,H,,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13]",0.22999999999999993
C11H4S,"{'C': 11, 'H': 4, 'S': 1}",168.00337130332,neutral,0,PPS,Polyphenylene Sulfide,neutral_loss,break 2 bond(s) + 1×repeat | H shift -1 | -CH3,2,-1,,CH3,"[1, 2, 3, 4, 6, 7, 9, 10, 12, 13]",0.22000000000000003
C11H6S,"{'C': 11, 'H': 6, 'S': 1}",170.01902136778,neutral,0,PPS,Polyphenylene Sulfide,neutral_loss,break 2 bond(s) + 1×repeat | H shift +1 | -CH3,2,1,,CH3,"[1, 2, 3, 4, 6, 7, 9, 10, 12, 13]",0.22000000000000003
C12H5S,"{'C': 12, 'H': 5, 'S': 1}",181.01119633555,neutral,0,PPS,Polyphenylene Sulfide,neutral_loss,break 2 bond(s) + 1×repeat | H shift -1 | -H2,2,-1,,H2,"[1, 2, 3, 4, 6, 7, 9, 10, 12, 13]",0.22000000000000003
C12H7S,"{'C': 12, 'H': 7, 'S': 1}",183.02684640001,neutral,0,PPS,Polyphenylene Sulfide,neutral_loss,break 2 bond(s) + 1×repeat | H shift +1 | -H2,2,1,,H2,"[1, 2, 3, 4, 6, 7, 9, 10, 12, 13]",0.22000000000000003
C18H11ClS3,"{'C': 18, 'S': 3, 'H': 11, 'Cl': 1}",357.97114155973,negative,-1,PPS,Polyphenylene Sulfide,adduct,break 1 bond(s) + 2×repeat | H shift -2 | Cl | ; | break 1 bond(s) + 2×repeat | H shift -2 | Cl,1,-2,Cl,,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13]",0.22
C18H11KS3,"{'C': 18, 'S': 3, 'H': 11, 'K': 1}",361.96599536413,positive,1,PPS,Polyphenylene Sulfide,adduct,break 1 bond(s) + 2×repeat | H shift -2 | K | ; | break 1 bond(s) + 2×repeat | H shift -2 | K,1,-2,K,,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13]",0.22
C18H11NaS3,"{'C': 18, 'S': 3, 'H': 11, 'Na': 1}",345.99205815973,positive,1,PPS,Polyphenylene Sulfide,adduct,break 1 bond(s) + 2×repeat | H shift -2 | Na | ; | break 1 bond(s) + 2×repeat | H shift -2 | Na,1,-2,Na,,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13]",0.22
C18H11OS3,"{'C': 18, 'S': 3, 'H': 11, 'O': 1}",338.9972034973,negative,-1,PPS,Polyphenylene Sulfide,adduct,break 1 bond(s) + 2×repeat | H shift -2 | O | ; | break 1 bond(s) + 2×repeat | H shift -2 | O,1,-2,O,,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13]",0.22
C18H15ClS3,"{'C': 18, 'S': 3, 'H': 15, 'Cl': 1}",362.00244168865,negative,-1,PPS,Polyphenylene Sulfide,adduct,break 1 bond(s) + 2×repeat | H shift +2 | Cl | ; | break 1 bond(s) + 2×repeat | H shift +2 | Cl,1,2,Cl,,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13]",0.22
