formula,counts,exact_mass,ion_mode,charge,source_compound_id,source_name,generation_type,path,broken_bonds,h_shift,adduct,neutral_losses,fragment_atom_indices,score
C16H11N2O4,"{'O': 4, 'C': 16, 'N': 2, 'H': 11}",295.07188184167,neutral,0,PI,Polyimide (Kapton),fragment,break 1 bond(s) | ; | break 2 bond(s),1,0,,,"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53]",0.6
C16H12N2O3,"{'C': 16, 'N': 2, 'O': 3, 'H': 12}",280.08479225433,positive,1,PI,Polyimide (Kapton),adduct,break 1 bond(s) | H | ; | break 2 bond(s) | H | ; | break 2 bond(s) | H,1,0,H,,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53]",0.6
C16H12N2O4,"{'O': 4, 'C': 16, 'N': 2, 'H': 12}",296.0797068739,positive,1,PI,Polyimide (Kapton),adduct,break 1 bond(s) | H | ; | break 2 bond(s) | H,1,0,H,,"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53]",0.6
C21H11NO4,"{'O': 4, 'C': 21, 'N': 1, 'H': 11}",341.06880783724,negative,-1,PI,Polyimide (Kapton),adduct,break 1 bond(s) | -H | ; | break 2 bond(s) | -H,1,0,-H,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 52, 53, 54, 55, 56, 57, 58, 59]",0.6
C21H12NO4,"{'O': 4, 'C': 21, 'N': 1, 'H': 12}",342.07663286947,neutral,0,PI,Polyimide (Kapton),fragment,break 1 bond(s) | ; | break 2 bond(s),1,0,,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 52, 53, 54, 55, 56, 57, 58, 59]",0.6
C21H13NO4,"{'O': 4, 'C': 21, 'N': 1, 'H': 13}",343.0844579017,positive,1,PI,Polyimide (Kapton),adduct,break 1 bond(s) | H | ; | break 2 bond(s) | H,1,0,H,,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 52, 53, 54, 55, 56, 57, 58, 59]",0.6
C22H14N2O4,"{'C': 22, 'O': 4, 'N': 2, 'H': 14}",370.09535693836,negative,-1,PI,Polyimide (Kapton),adduct,break 1 bond(s) | -H,1,0,-H,,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55]",0.6
C22H15N2O4,"{'C': 22, 'O': 4, 'N': 2, 'H': 15}",371.10318197059,neutral,0,PI,Polyimide (Kapton),fragment,break 1 bond(s),1,0,,,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55]",0.6
C22H16N2O4,"{'C': 22, 'O': 4, 'N': 2, 'H': 16}",372.11100700282,positive,1,PI,Polyimide (Kapton),adduct,break 1 bond(s) | H,1,0,H,,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55]",0.6
C30H15N3O7,"{'C': 30, 'H': 15, 'N': 3, 'O': 7}",529.09099983373,neutral,0,PI,Polyimide (Kapton),neutral_loss,M | H shift -1 | -CH3 | ; | break 1 bond(s) | H shift +1 | -H2,0,-1,,CH3,,0.6
