formula,counts,exact_mass,ion_mode,charge,source_compound_id,source_name,generation_type,path,broken_bonds,h_shift,adduct,neutral_losses,fragment_atom_indices,score
C31H35F30K,"{'C': 31, 'F': 30, 'H': 35, 'K': 1}",1016.18967749635,positive,1,ETFE,Ethylene-TFE copolymer,adduct,break 1 bond(s) + 7×repeat | H shift +2 | K | ; | break 2 bond(s) + 7×repeat | H shift +2 | K | ; | break 2 bond(s) + 7×repeat | H shift +2 | K,1,2,K,,"[0, 1, 2, 3, 4, 8, 9, 10, 11, 12]",0.0
C31H35F30Na,"{'C': 31, 'F': 30, 'H': 35, 'Na': 1}",1000.2157402919499,positive,1,ETFE,Ethylene-TFE copolymer,adduct,break 1 bond(s) + 7×repeat | H shift +2 | Na | ; | break 2 bond(s) + 7×repeat | H shift +2 | Na | ; | break 2 bond(s) + 7×repeat | H shift +2 | Na,1,2,Na,,"[0, 1, 2, 3, 4, 8, 9, 10, 11, 12]",0.0
C31H35F30O,"{'C': 31, 'F': 30, 'H': 35, 'O': 1}",993.2208856295199,negative,-1,ETFE,Ethylene-TFE copolymer,adduct,break 1 bond(s) + 7×repeat | H shift +1 | OH | ; | break 1 bond(s) + 7×repeat | H shift +2 | O | ; | break 2 bond(s) + 7×repeat | H shift +1 | OH,1,1,OH,,"[0, 1, 2, 3, 4, 8, 9, 10, 11, 12]",0.0
C31H36F29,"{'C': 31, 'F': 29, 'H': 36}",959.23539287945,positive,1,ETFE,Ethylene-TFE copolymer,adduct,break 2 bond(s) + 7×repeat | H shift +2 | H | ; | break 2 bond(s) + 7×repeat | H shift +2 | H,2,2,H,,"[0, 1, 2, 4, 8, 9, 10, 11, 12]",0.0
C31H36F29O,"{'C': 31, 'F': 29, 'H': 36, 'O': 1}",975.23030749902,negative,-1,ETFE,Ethylene-TFE copolymer,adduct,break 2 bond(s) + 7×repeat | H shift +2 | OH | ; | break 2 bond(s) + 7×repeat | H shift +2 | OH,2,2,OH,,"[0, 1, 2, 4, 8, 9, 10, 11, 12]",0.0
C31H36F30,"{'C': 31, 'F': 30, 'H': 36}",978.23379604218,positive,1,ETFE,Ethylene-TFE copolymer,adduct,break 1 bond(s) + 7×repeat | H shift +2 | H | ; | break 2 bond(s) + 7×repeat | H shift +2 | H | ; | break 2 bond(s) + 7×repeat | H shift +2 | H,1,2,H,,"[0, 1, 2, 3, 4, 8, 9, 10, 11, 12]",0.0
C31H36F30O,"{'C': 31, 'F': 30, 'H': 36, 'O': 1}",994.2287106617499,negative,-1,ETFE,Ethylene-TFE copolymer,adduct,break 1 bond(s) + 7×repeat | H shift +2 | OH | ; | break 2 bond(s) + 7×repeat | H shift +2 | OH | ; | break 2 bond(s) + 7×repeat | H shift +2 | OH,1,2,OH,,"[0, 1, 2, 3, 4, 8, 9, 10, 11, 12]",0.0
C32H27F34,"{'C': 32, 'F': 34, 'H': 27}",1057.1569834030302,neutral,0,ETFE,Ethylene-TFE copolymer,neutral_loss,break 2 bond(s) + 8×repeat | H shift -2 | -CH3,2,-2,,CH3,"[2, 3, 4]",0.0
C32H28F33,"{'H': 28, 'C': 32, 'F': 33}",1039.16640527253,neutral,0,ETFE,Ethylene-TFE copolymer,neutral_loss,break 2 bond(s) + 8×repeat | H shift -2 | -CH3 | ; | break 2 bond(s) + 8×repeat | H shift -2 | -CH3,2,-2,,CH3,"[5, 7, 13]",0.0
C32H28F34,"{'H': 28, 'C': 32, 'F': 34}",1058.16480843526,neutral,0,ETFE,Ethylene-TFE copolymer,neutral_loss,break 1 bond(s) + 8×repeat | H shift -2 | -CH3 | ; | break 2 bond(s) + 8×repeat | H shift -2 | -CH3 | ; | break 2 bond(s) + 8×repeat | H shift -1 | -CH3,1,-2,,CH3,"[5, 6, 7, 13]",0.0
C32H29F33,"{'H': 29, 'C': 32, 'F': 33}",1040.17423030476,neutral,0,ETFE,Ethylene-TFE copolymer,neutral_loss,break 2 bond(s) + 8×repeat | H shift -1 | -CH3 | ; | break 2 bond(s) + 8×repeat | H shift -1 | -CH3,2,-1,,CH3,"[5, 7, 13]",0.0
C32H29F34,"{'H': 29, 'C': 32, 'F': 34}",1059.17263346749,neutral,0,ETFE,Ethylene-TFE copolymer,neutral_loss,break 1 bond(s) + 8×repeat | H shift -1 | -CH3 | ; | break 2 bond(s) + 8×repeat | H shift -1 | -CH3 | ; | break 2 bond(s) + 8×repeat | -CH3,1,-1,,CH3,"[5, 6, 7, 13]",0.0
C32H30F30,"{'C': 32, 'F': 30, 'H': 30}",984.1868458488,neutral,0,ETFE,Ethylene-TFE copolymer,neutral_loss,break 2 bond(s) + 7×repeat | H shift -2 | -H2 | ; | break 2 bond(s) + 7×repeat | H shift -2 | -H2 | ; | break 2 bond(s) + 7×repeat | H shift -2 | -H2,2,-2,,H2,"[0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.0
C32H30F31,"{'C': 32, 'F': 31, 'H': 30}",1003.18524901153,neutral,0,ETFE,Ethylene-TFE copolymer,neutral_loss,break 1 bond(s) + 7×repeat | H shift -2 | -H2 | ; | break 1 bond(s) + 7×repeat | H shift -2 | -H2 | ; | break 1 bond(s) + 7×repeat | H shift -2 | -H2,1,-2,,H2,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.0
C32H30F32,"{'C': 32, 'H': 30, 'F': 32}",1022.18365217426,neutral,0,ETFE,Ethylene-TFE copolymer,neutral_loss,M + 7×repeat | H shift -2 | -H2,0,-2,,H2,,0.0
C32H30F33,"{'H': 30, 'C': 32, 'F': 33}",1041.18205533699,neutral,0,ETFE,Ethylene-TFE copolymer,neutral_loss,break 2 bond(s) + 8×repeat | -CH3 | ; | break 2 bond(s) + 8×repeat | -CH3,2,0,,CH3,"[5, 7, 13]",0.0
C32H30F34,"{'H': 30, 'C': 32, 'F': 34}",1060.18045849972,neutral,0,ETFE,Ethylene-TFE copolymer,neutral_loss,break 1 bond(s) + 8×repeat | -CH3 | ; | break 2 bond(s) + 8×repeat | -CH3 | ; | break 2 bond(s) + 8×repeat | H shift +1 | -CH3,1,0,,CH3,"[5, 6, 7, 13]",0.0
C32H31F29,"{'C': 32, 'F': 29, 'H': 31}",966.1962677183001,neutral,0,ETFE,Ethylene-TFE copolymer,neutral_loss,break 2 bond(s) + 7×repeat | H shift -2 | -HF | ; | break 2 bond(s) + 7×repeat | H shift -2 | -HF | ; | break 2 bond(s) + 7×repeat | H shift -2 | -HF,2,-2,,HF,"[0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.0
C32H31F30,"{'C': 32, 'F': 30, 'H': 31}",985.19467088103,neutral,0,ETFE,Ethylene-TFE copolymer,neutral_loss,break 1 bond(s) + 7×repeat | H shift -2 | -HF | ; | break 1 bond(s) + 7×repeat | H shift -2 | -HF | ; | break 1 bond(s) + 7×repeat | H shift -2 | -HF,1,-2,,HF,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.0
C32H31F30,"{'C': 32, 'F': 30, 'H': 31}",985.19467088103,negative,-1,ETFE,Ethylene-TFE copolymer,adduct,break 2 bond(s) + 7×repeat | H shift -2 | -H | ; | break 2 bond(s) + 7×repeat | H shift -2 | -H | ; | break 2 bond(s) + 7×repeat | H shift -2 | -H,2,-2,-H,,"[0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.0
C32H31F31,"{'C': 32, 'H': 31, 'F': 31}",1004.19307404376,neutral,0,ETFE,Ethylene-TFE copolymer,neutral_loss,M + 7×repeat | H shift -2 | -HF | ; | break 1 bond(s) + 7×repeat | H shift -1 | -H2 | ; | break 1 bond(s) + 7×repeat | H shift -1 | -H2,0,-2,,HF,,0.0
C32H31F31,"{'C': 32, 'F': 31, 'H': 31}",1004.19307404376,negative,-1,ETFE,Ethylene-TFE copolymer,adduct,break 1 bond(s) + 7×repeat | H shift -2 | -H | ; | break 1 bond(s) + 7×repeat | H shift -2 | -H | ; | break 1 bond(s) + 7×repeat | H shift -2 | -H,1,-2,-H,,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.0
C32H31F33,"{'H': 31, 'C': 32, 'F': 33}",1042.18988036922,neutral,0,ETFE,Ethylene-TFE copolymer,neutral_loss,break 2 bond(s) + 8×repeat | H shift +1 | -CH3 | ; | break 2 bond(s) + 8×repeat | H shift +1 | -CH3,2,1,,CH3,"[5, 7, 13]",0.0
C32H31F34,"{'H': 31, 'C': 32, 'F': 34}",1061.18828353195,neutral,0,ETFE,Ethylene-TFE copolymer,neutral_loss,break 1 bond(s) + 8×repeat | H shift +1 | -CH3 | ; | break 2 bond(s) + 8×repeat | H shift +1 | -CH3 | ; | break 2 bond(s) + 8×repeat | H shift +2 | -CH3,1,1,,CH3,"[5, 6, 7, 13]",0.0
C32H32ClF30,"{'C': 32, 'F': 30, 'H': 32, 'Cl': 1}",1021.1713485952599,negative,-1,ETFE,Ethylene-TFE copolymer,adduct,break 2 bond(s) + 7×repeat | H shift -2 | Cl | ; | break 2 bond(s) + 7×repeat | H shift -2 | Cl | ; | break 2 bond(s) + 7×repeat | H shift -2 | Cl,2,-2,Cl,,"[0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.0
C32H32ClF31,"{'C': 32, 'F': 31, 'H': 32, 'Cl': 1}",1040.16975175799,negative,-1,ETFE,Ethylene-TFE copolymer,adduct,break 1 bond(s) + 7×repeat | H shift -2 | Cl | ; | break 1 bond(s) + 7×repeat | H shift -2 | Cl | ; | break 1 bond(s) + 7×repeat | H shift -2 | Cl,1,-2,Cl,,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.0
C32H32ClF32,"{'C': 32, 'H': 32, 'F': 32, 'Cl': 1}",1059.16815492072,negative,-1,ETFE,Ethylene-TFE copolymer,adduct,M + 7×repeat | H shift -2 | Cl,0,-2,Cl,,,0.0
C32H32F29,"{'C': 32, 'F': 29, 'H': 32}",967.20409275053,neutral,0,ETFE,Ethylene-TFE copolymer,neutral_loss,break 2 bond(s) + 7×repeat | H shift -1 | -HF | ; | break 2 bond(s) + 7×repeat | H shift -1 | -HF | ; | break 2 bond(s) + 7×repeat | H shift -1 | -HF,2,-1,,HF,"[0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.0
C32H32F30,"{'C': 32, 'F': 30, 'H': 32}",986.2024959132599,neutral,0,ETFE,Ethylene-TFE copolymer,neutral_loss,break 1 bond(s) + 7×repeat | H shift -1 | -HF | ; | break 1 bond(s) + 7×repeat | H shift -1 | -HF | ; | break 1 bond(s) + 7×repeat | H shift -1 | -HF,1,-1,,HF,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.0
C32H32F30,"{'C': 32, 'F': 30, 'H': 32}",986.2024959132599,neutral,0,ETFE,Ethylene-TFE copolymer,h_shift,break 2 bond(s) + 7×repeat | H shift -2 | ; | break 2 bond(s) + 7×repeat | H shift -2 | ; | break 2 bond(s) + 7×repeat | H shift -2 | ; | break 2 bond(s) + 7×repeat | H shift -2,2,-2,,,"[0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.0
C32H32F30,"{'C': 32, 'F': 30, 'H': 32}",986.2024959132599,negative,-1,ETFE,Ethylene-TFE copolymer,adduct,break 2 bond(s) + 7×repeat | H shift -1 | -H | ; | break 2 bond(s) + 7×repeat | H shift -1 | -H | ; | break 2 bond(s) + 7×repeat | H shift -1 | -H,2,-1,-H,,"[0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.0
C32H32F30K,"{'C': 32, 'F': 30, 'H': 32, 'K': 1}",1025.16620239966,positive,1,ETFE,Ethylene-TFE copolymer,adduct,break 2 bond(s) + 7×repeat | H shift -2 | K | ; | break 2 bond(s) + 7×repeat | H shift -2 | K | ; | break 2 bond(s) + 7×repeat | H shift -2 | K,2,-2,K,,"[0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.0
C32H32F30Na,"{'C': 32, 'F': 30, 'H': 32, 'Na': 1}",1009.1922651952599,positive,1,ETFE,Ethylene-TFE copolymer,adduct,break 2 bond(s) + 7×repeat | H shift -2 | Na | ; | break 2 bond(s) + 7×repeat | H shift -2 | Na | ; | break 2 bond(s) + 7×repeat | H shift -2 | Na,2,-2,Na,,"[0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.0
C32H32F30O,"{'C': 32, 'F': 30, 'H': 32, 'O': 1}",1002.19741053283,negative,-1,ETFE,Ethylene-TFE copolymer,adduct,break 2 bond(s) + 7×repeat | H shift -2 | O | ; | break 2 bond(s) + 7×repeat | H shift -2 | O | ; | break 2 bond(s) + 7×repeat | H shift -2 | O,2,-2,O,,"[0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.0
C32H32F31,"{'C': 32, 'F': 31, 'H': 32}",1005.2008990759899,neutral,0,ETFE,Ethylene-TFE copolymer,h_shift,break 1 bond(s) + 7×repeat | H shift -2 | ; | break 1 bond(s) + 7×repeat | H shift -2 | ; | break 1 bond(s) + 7×repeat | H shift -2 | ; | break 1 bond(s) + 7×repeat | H shift -2,1,-2,,,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.0
C32H32F31,"{'C': 32, 'F': 31, 'H': 32}",1005.2008990759899,negative,-1,ETFE,Ethylene-TFE copolymer,adduct,break 1 bond(s) + 7×repeat | H shift -1 | -H | ; | break 1 bond(s) + 7×repeat | H shift -1 | -H | ; | break 1 bond(s) + 7×repeat | H shift -1 | -H,1,-1,-H,,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.0
C32H32F31K,"{'C': 32, 'F': 31, 'H': 32, 'K': 1}",1044.16460556239,positive,1,ETFE,Ethylene-TFE copolymer,adduct,break 1 bond(s) + 7×repeat | H shift -2 | K | ; | break 1 bond(s) + 7×repeat | H shift -2 | K | ; | break 1 bond(s) + 7×repeat | H shift -2 | K,1,-2,K,,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.0
C32H32F31Na,"{'C': 32, 'F': 31, 'H': 32, 'Na': 1}",1028.19066835799,positive,1,ETFE,Ethylene-TFE copolymer,adduct,break 1 bond(s) + 7×repeat | H shift -2 | Na | ; | break 1 bond(s) + 7×repeat | H shift -2 | Na | ; | break 1 bond(s) + 7×repeat | H shift -2 | Na,1,-2,Na,,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.0
C32H32F31O,"{'C': 32, 'F': 31, 'H': 32, 'O': 1}",1021.19581369556,negative,-1,ETFE,Ethylene-TFE copolymer,adduct,break 1 bond(s) + 7×repeat | H shift -2 | O | ; | break 1 bond(s) + 7×repeat | H shift -2 | O | ; | break 1 bond(s) + 7×repeat | H shift -2 | O,1,-2,O,,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.0
C32H32F32K,"{'C': 32, 'H': 32, 'F': 32, 'K': 1}",1063.16300872512,positive,1,ETFE,Ethylene-TFE copolymer,adduct,M + 7×repeat | H shift -2 | K,0,-2,K,,,0.0
C32H32F32Na,"{'C': 32, 'H': 32, 'F': 32, 'Na': 1}",1047.18907152072,positive,1,ETFE,Ethylene-TFE copolymer,adduct,M + 7×repeat | H shift -2 | Na,0,-2,Na,,,0.0
C32H32F32O,"{'C': 32, 'H': 32, 'F': 32, 'O': 1}",1040.19421685829,negative,-1,ETFE,Ethylene-TFE copolymer,adduct,M + 7×repeat | H shift -2 | O,0,-2,O,,,0.0
C32H32F33,"{'H': 32, 'C': 32, 'F': 33}",1043.19770540145,neutral,0,ETFE,Ethylene-TFE copolymer,neutral_loss,break 2 bond(s) + 8×repeat | H shift +2 | -CH3 | ; | break 2 bond(s) + 8×repeat | H shift +2 | -CH3,2,2,,CH3,"[5, 7, 13]",0.0
C32H32F34,"{'H': 32, 'C': 32, 'F': 34}",1062.1961085641801,neutral,0,ETFE,Ethylene-TFE copolymer,neutral_loss,break 1 bond(s) + 8×repeat | H shift +2 | -CH3 | ; | break 2 bond(s) + 8×repeat | H shift +2 | -CH3 | ; | break 2 bond(s) + 8×repeat | H shift +2 | -CH3,1,2,,CH3,"[5, 6, 7, 13]",0.0
C32H33ClF30,"{'C': 32, 'F': 30, 'H': 33, 'Cl': 1}",1022.17917362749,negative,-1,ETFE,Ethylene-TFE copolymer,adduct,break 2 bond(s) + 7×repeat | H shift -1 | Cl | ; | break 2 bond(s) + 7×repeat | H shift -1 | Cl | ; | break 2 bond(s) + 7×repeat | H shift -1 | Cl,2,-1,Cl,,"[0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.0
C32H33ClF31,"{'C': 32, 'F': 31, 'H': 33, 'Cl': 1}",1041.17757679022,negative,-1,ETFE,Ethylene-TFE copolymer,adduct,break 1 bond(s) + 7×repeat | H shift -1 | Cl | ; | break 1 bond(s) + 7×repeat | H shift -1 | Cl | ; | break 1 bond(s) + 7×repeat | H shift -1 | Cl,1,-1,Cl,,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.0
