formula,counts,exact_mass,ion_mode,charge,source_compound_id,source_name,generation_type,path,broken_bonds,h_shift,adduct,neutral_losses,fragment_atom_indices,score
C6H3,"{'C': 6, 'H': 3}",75.02347509669,neutral,0,STD001,Toluene,h_shift,break 1 bond(s) | H shift -2,1,-2,,,"[1, 2, 3, 4, 5, 6, 10, 11, 12, 13, 14]",0.5
C6H4,"{'C': 6, 'H': 4}",76.03130012892,positive,1,STD001,Toluene,adduct,break 1 bond(s) | H shift -2 | H,1,-2,H,,"[1, 2, 3, 4, 5, 6, 10, 11, 12, 13, 14]",0.5
C6H6,"{'C': 6, 'H': 6}",78.04695019338,negative,-1,STD001,Toluene,adduct,break 1 bond(s) | H shift +2 | -H,1,2,-H,,"[1, 2, 3, 4, 5, 6, 10, 11, 12, 13, 14]",0.5
C6H7,"{'C': 6, 'H': 7}",79.05477522561,neutral,0,STD001,Toluene,h_shift,break 1 bond(s) | H shift +2,1,2,,,"[1, 2, 3, 4, 5, 6, 10, 11, 12, 13, 14]",0.5
C6H8,"{'C': 6, 'H': 8}",80.06260025784,positive,1,STD001,Toluene,adduct,break 1 bond(s) | H shift +2 | H,1,2,H,,"[1, 2, 3, 4, 5, 6, 10, 11, 12, 13, 14]",0.5
C6H5Cl,"{'C': 6, 'H': 5, 'Cl': 1}",112.00797784315,negative,-1,STD001,Toluene,adduct,break 1 bond(s) | Cl,1,0,Cl,,"[1, 2, 3, 4, 5, 6, 10, 11, 12, 13, 14]",0.48
C6H5K,"{'C': 6, 'H': 5, 'K': 1}",116.00283164755,positive,1,STD001,Toluene,adduct,break 1 bond(s) | K,1,0,K,,"[1, 2, 3, 4, 5, 6, 10, 11, 12, 13, 14]",0.48
C6H5Na,"{'C': 6, 'H': 5, 'Na': 1}",100.02889444315,positive,1,STD001,Toluene,adduct,break 1 bond(s) | Na,1,0,Na,,"[1, 2, 3, 4, 5, 6, 10, 11, 12, 13, 14]",0.48
C6H5O,"{'C': 6, 'H': 5, 'O': 1}",93.03403978072001,negative,-1,STD001,Toluene,adduct,break 1 bond(s) | O,1,0,O,,"[1, 2, 3, 4, 5, 6, 10, 11, 12, 13, 14]",0.48
C6H6O,"{'C': 6, 'H': 6, 'O': 1}",94.04186481295,negative,-1,STD001,Toluene,adduct,break 1 bond(s) | OH | ; | break 1 bond(s) | H shift +1 | O,1,0,OH,,"[1, 2, 3, 4, 5, 6, 10, 11, 12, 13, 14]",0.48
