spectrum_id,material,source_file,ion_mode,mz,intensity,centroid_peak_count,peak_category,category_label,included_in_main_eval,matched,matched_formula,matched_mass_error_da,matched_mass_error_ppm,matched_formula_score
FEP_-FEP-1,FEP,data/FEP/-FEP-1.txt,negative,69.00034155619126,233.80734819638312,49,structural_candidate,,True,True,CF3,0.005132068001259427,74.38296135817791,1.0
FEP_-FEP-1,FEP,data/FEP/-FEP-1.txt,negative,73.99928999501898,6.374630502768237,6,structural_candidate,,True,False,,,,
FEP_-FEP-1,FEP,data/FEP/-FEP-1.txt,negative,92.99691421734357,61.51214353334694,30,structural_candidate,,True,False,,,,
FEP_-FEP-1,FEP,data/FEP/-FEP-1.txt,negative,118.99492402576736,49.936033613643026,33,structural_candidate,,True,True,C2F5,0.002908212117361586,24.440397092827254,0.79
Nomex_+Nomex-1,Nomex,data/Nomex/+Nomex-1.txt,positive,22.98875891457053,2274.539023815138,35,contaminant,Na+,False,False,,,,
Nomex_+Nomex-1,Nomex,data/Nomex/+Nomex-1.txt,positive,27.022293432725714,1475.4114595614242,27,low_mass_feature,C2H3+,True,True,C2H3,-0.0011816639642852067,-43.7273133842784,0.6580000000000001
Nomex_+Nomex-1,Nomex,data/Nomex/+Nomex-1.txt,positive,29.038364547892133,1167.2954491865125,24,low_mass_feature,C2H5+,True,True,C2H5,-0.0007606132578672486,-26.192705656464998,0.6580000000000001
Nomex_+Nomex-1,Nomex,data/Nomex/+Nomex-1.txt,positive,39.02202499914645,1663.0417354397548,31,structural_candidate,,True,True,C3H3,-0.0014500975435467467,-37.159620970551266,0.6580000000000001
Nomex_+Nomex-1,Nomex,data/Nomex/+Nomex-1.txt,positive,41.038460010447075,3485.3053525112,46,structural_candidate,,True,True,C3H5,-0.0006651507029218351,-16.207721297906836,0.6580000000000001
Nomex_+Nomex-1,Nomex,data/Nomex/+Nomex-1.txt,positive,43.054344795056345,1341.216694175902,27,structural_candidate,,True,True,C3H7,-0.0004304305536564357,-9.99727791867336,0.6580000000000001
Nomex_+Nomex-1,Nomex,data/Nomex/+Nomex-1.txt,positive,55.05413199049599,1211.2190521103514,26,structural_candidate,,True,True,C4H7,-0.0006432351140119863,-11.683548091442766,0.6580000000000001
Nomex_+Nomex-1,Nomex,data/Nomex/+Nomex-1.txt,positive,77.03777000045835,771.6670596557416,18,structural_candidate,,True,True,C6H5,-0.0013551606916450964,-17.590551408915655,1.0
Nomex_+Nomex-1,Nomex,data/Nomex/+Nomex-1.txt,positive,132.903773155273,4901.711860410281,66,contaminant,Cs+,False,False,,,,
Nomex_-Nomex-1,Nomex,data/Nomex/-Nomex-1.txt,negative,1.0091544447313752,2407.2575117102706,45,low_mass_background,below_min_main_mz,False,False,,,,
Nomex_-Nomex-1,Nomex,data/Nomex/-Nomex-1.txt,negative,13.007881232406143,108.73986061921627,13,low_mass_background,below_min_main_mz,False,False,,,,
Nomex_-Nomex-1,Nomex,data/Nomex/-Nomex-1.txt,negative,15.994587403555306,81.29926882211814,10,contaminant,O-,False,False,,,,
Nomex_-Nomex-1,Nomex,data/Nomex/-Nomex-1.txt,negative,25.00771213365994,610.49830534293,41,structural_candidate,,True,True,C2H,-0.0001128985700589169,-4.514529748725193,0.6580000000000001
Nomex_-Nomex-1,Nomex,data/Nomex/-Nomex-1.txt,negative,26.006688449771953,2026.7770097871205,80,low_mass_feature,CN-,True,True,CN,0.0036144453419524325,139.00069435393135,0.6220000000000001
Nomex_-Nomex-1,Nomex,data/Nomex/-Nomex-1.txt,negative,41.999222319072224,814.2013214516927,57,structural_candidate,,True,True,CNO,0.001233695072222929,29.3750989664759,0.99
Nomex_-Nomex-1,Nomex,data/Nomex/-Nomex-1.txt,negative,49.99955686413411,85.89912030161088,11,structural_candidate,,True,True,C3N,-0.003517140295890897,-70.33848150174323,0.6220000000000001
Nomex_-Nomex-1,Nomex,data/Nomex/-Nomex-1.txt,negative,79.95305966665349,433.44139152290643,43,structural_candidate,,True,False,,,,
PEEK_+PEEK-1,PEEK,data/PEEK/+PEEK-1.txt,positive,22.989296455803508,630.3143701883936,27,contaminant,Na+,False,False,,,,
PEEK_+PEEK-1,PEEK,data/PEEK/+PEEK-1.txt,positive,27.02245269896949,422.73577764129516,22,low_mass_feature,C2H3+,True,True,C2H3,-0.0010223977205079393,-37.833687815863804,0.6580000000000001
PEEK_+PEEK-1,PEEK,data/PEEK/+PEEK-1.txt,positive,29.038446714496978,364.11666404810535,20,low_mass_feature,C2H5+,True,True,C2H5,-0.0006784466530227462,-23.363191875022675,0.6580000000000001
PEEK_+PEEK-1,PEEK,data/PEEK/+PEEK-1.txt,positive,39.02234998004333,591.3144701698257,27,structural_candidate,,True,True,C3H3,-0.0011251166466692553,-28.831790195043098,0.6580000000000001
PEEK_+PEEK-1,PEEK,data/PEEK/+PEEK-1.txt,positive,41.03848566863475,1018.2080470769714,34,structural_candidate,,True,True,C3H5,-0.0006394925152477526,-15.582508465680771,0.6580000000000001
