spectrum_id,material,source_file,ion_mode,mz,intensity,centroid_peak_count,peak_category,category_label,included_in_main_eval,matched,matched_formula,matched_mass_error_da,matched_mass_error_ppm,matched_formula_score,network_has_match,best_match_rank,matched_formula,error_category
EVA_+EVA-All,EVA,data/EVA/+EVA-All.TXT,positive,43.05556153777322,2534.6298656163112,48,structural_candidate,,True,True,C3H7,0.0007863121632212,18.26306510952375,0.908,True,13,C3H7,rank_1_50
EVA_+EVA-All,EVA,data/EVA/+EVA-All.TXT,positive,55.05615124230492,3593.115732159407,59,structural_candidate,,True,True,C4H7,0.0013760166949197,24.993593912261165,0.7980000000000003,True,33,C4H7,rank_1_50
EVA_+EVA-All,EVA,data/EVA/+EVA-All.TXT,positive,57.07154771627981,396.91554680259503,14,structural_candidate,,True,True,C4H9,0.001122426209811,19.667388215632663,0.908,True,14,C4H9,rank_1_50
EVA_+EVA-All,EVA,data/EVA/+EVA-All.TXT,positive,67.05489320749265,530.2537071362373,18,structural_candidate,,True,True,C5H7,0.0001179818826528,1.7594851709803965,0.6580000000000001,True,97,C5H7,rank_51_100
EVA_+EVA-All,EVA,data/EVA/+EVA-All.TXT,positive,69.07149892734977,758.7899675625579,25,structural_candidate,,True,True,C5H9,0.0010736372797595,15.544095396121188,0.8780000000000001,True,19,C5H9,rank_1_50
EVA_+EVA-All,EVA,data/EVA/+EVA-All.TXT,positive,91.05207734236178,615.908827618165,21,structural_candidate,,True,False,,,,,False,0,,missing
EVA_-EVA-1-All,EVA,data/EVA/-EVA-1-All.TXT,negative,1.0083970737084924,3196.358892468255,66,low_mass_background,below_min_main_mz,False,False,,,,,False,0,,missing
EVA_-EVA-1-All,EVA,data/EVA/-EVA-1-All.TXT,negative,13.007594261259872,371.9412573728274,60,low_mass_background,below_min_main_mz,False,False,,,,,False,0,,missing
EVA_-EVA-1-All,EVA,data/EVA/-EVA-1-All.TXT,negative,25.00919138078368,747.7749983846701,91,structural_candidate,,True,True,C2H,0.001366348553681,54.63684074564909,0.6580000000000001,True,74,C2H,rank_51_100
EVA_-EVA-1-All,EVA,data/EVA/-EVA-1-All.TXT,negative,34.97103735591797,341.69120429770066,71,contaminant,Cl-,False,False,,,,,False,0,,missing
EVA_-EVA-1-All,EVA,data/EVA/-EVA-1-All.TXT,negative,49.00415102453896,43.09484909741517,12,structural_candidate,,True,True,C4H,-0.0036740076910461,-74.9677768525738,0.6580000000000001,True,78,C4H,rank_51_100
FEP_+FEP-1,FEP,data/FEP/+FEP-1.txt,positive,11.99923931589141,231.74885057471263,13,low_mass_background,below_min_main_mz,False,False,,,,,False,0,,missing
FEP_+FEP-1,FEP,data/FEP/+FEP-1.txt,positive,30.998933654156847,1651.9896551724137,29,low_mass_feature,CF+,True,True,CF,0.0005304914268471,17.113508204350197,0.79,True,15,CF,rank_1_50
FEP_+FEP-1,FEP,data/FEP/+FEP-1.txt,positive,68.99410966767644,1701.9454022988505,28,structural_candidate,,True,True,CF3,-0.0010998205135592,-15.940534447504469,1.0,True,4,CF3,rank_1_50
FEP_+FEP-1,FEP,data/FEP/+FEP-1.txt,positive,73.99532712853643,336.4402298850575,19,structural_candidate,,True,False,,,,,False,0,,missing
FEP_+FEP-1,FEP,data/FEP/+FEP-1.txt,positive,92.99671629007008,1633.180459770115,39,structural_candidate,,True,False,,,,,False,0,,missing
FEP_+FEP-1,FEP,data/FEP/+FEP-1.txt,positive,99.99541594725255,1513.5557471264367,42,structural_candidate,,True,True,C2F4,0.001803296332568,18.03411522757346,1.0,True,1,C2F4,rank_1_50
FEP_+FEP-1,FEP,data/FEP/+FEP-1.txt,positive,116.99226052543284,295.26724137931035,18,structural_candidate,,True,False,,,,,False,0,,missing
FEP_+FEP-1,FEP,data/FEP/+FEP-1.txt,positive,118.99650897157566,1192.5798850574713,46,structural_candidate,,True,True,C2F5,0.0044931579256655,37.76016310793592,0.79,True,13,C2F5,rank_1_50
FEP_+FEP-1,FEP,data/FEP/+FEP-1.txt,positive,130.99040536571812,1657.2402298850575,35,structural_candidate,,True,True,C3F5,-0.0016104479318812,-12.294244972703424,0.79,True,14,C3F5,rank_1_50
FEP_+FEP-1,FEP,data/FEP/+FEP-1.txt,positive,132.90113482223748,467.8235632183908,25,contaminant,Cs+,False,False,,,,,False,0,,missing
FEP_+FEP-1,FEP,data/FEP/+FEP-1.txt,positive,284.80127880817054,89.20459770114942,6,structural_candidate,,True,False,,,,,False,0,,missing
FEP_-FEP-1,FEP,data/FEP/-FEP-1.txt,negative,19.00403651813251,1361.1595934039442,33,low_mass_feature,F-,True,True,F,0.0056333554025087,296.51731012635605,0.74,True,11,F,rank_1_50
FEP_-FEP-1,FEP,data/FEP/-FEP-1.txt,negative,24.004757228960848,17.51544979331675,14,low_mass_background,below_min_main_mz,False,False,,,,,True,22,C2,rank_1_50
FEP_-FEP-1,FEP,data/FEP/-FEP-1.txt,negative,38.00229353272789,204.33098215913225,39,structural_candidate,,True,False,,,,,False,0,,missing
FEP_-FEP-1,FEP,data/FEP/-FEP-1.txt,negative,39.01022212966818,19.409073230802317,15,structural_candidate,,True,False,,,,,False,0,,missing
FEP_-FEP-1,FEP,data/FEP/-FEP-1.txt,negative,43.00333346060221,74.39899736994411,29,structural_candidate,,True,False,,,,,False,0,,missing
FEP_-FEP-1,FEP,data/FEP/-FEP-1.txt,negative,48.004711127744,19.68761891321824,15,structural_candidate,,True,True,C4,0.0047111277439952,98.14849466656857,0.6580000000000001,True,20,C4,rank_1_50
FEP_-FEP-1,FEP,data/FEP/-FEP-1.txt,negative,55.002300039518346,26.82942604973334,18,structural_candidate,,True,False,,,,,False,0,,missing
FEP_-FEP-1,FEP,data/FEP/-FEP-1.txt,negative,67.00160928410985,27.321837023895625,19,structural_candidate,,True,False,,,,,False,0,,missing
FEP_-FEP-1,FEP,data/FEP/-FEP-1.txt,negative,69.00034155619126,233.80734819638312,49,structural_candidate,,True,True,CF3,0.0051320680012594,74.38296135817791,1.0,True,2,CF3,rank_1_50
FEP_-FEP-1,FEP,data/FEP/-FEP-1.txt,negative,73.99928999501898,6.374630502768237,6,structural_candidate,,True,False,,,,,False,0,,missing
FEP_-FEP-1,FEP,data/FEP/-FEP-1.txt,negative,92.99691421734356,61.51214353334694,30,structural_candidate,,True,False,,,,,False,0,,missing
FEP_-FEP-1,FEP,data/FEP/-FEP-1.txt,negative,118.99492402576736,49.93603361364303,33,structural_candidate,,True,False,,,,,False,0,,missing
