spectrum_key,material,polarity,compound_id,formula,raw_formula,mz,intensity,network_score,generation_type,matched_ion_mode,network_path
COC_pos,COC,pos,COC,C6H7,C_6H_7+,79.0555,537055.55,0.35,neutral_loss,neutral,break 2 bond(s) | -CH3
COC_pos,COC,pos,COC,C3H3,C_3H_3+,39.0231,535167.53,0.22,carbon_cluster,positive,carbon cluster C3 H0-8 | positive ion formula
COC_pos,COC,pos,COC,C6H5,C_6H_5+,77.0374,476453.07,0.2499999999999999,neutral_loss,neutral,break 2 bond(s) | H shift -2 | -CH3
COC_pos,COC,pos,COC,C4H7,C_4H_7+,55.0567,473036.22,0.22,carbon_cluster,positive,carbon cluster C4 H0-10 | positive ion formula
COC_pos,COC,pos,COC,C4H5,C_4H_5+,53.0392,365674.95,0.22,carbon_cluster,positive,carbon cluster C4 H0-10 | positive ion formula
COC_pos,COC,pos,COC,C6H9,C_6H_9+,81.0743,289411.16,0.2499999999999999,neutral_loss,neutral,break 2 bond(s) | H shift +2 | -CH3
COC_pos,COC,pos,COC,C5H5,C_5H_5+,65.0384,271793.82,0.22,carbon_cluster,positive,carbon cluster C5 H0-12 | positive ion formula
COC_pos,COC,pos,COC,C9H7,C_9H_7+,115.0494,244811.27,0.22,carbon_cluster,positive,carbon cluster C9 H0-20 | positive ion formula
COC_pos,COC,pos,COC,C4H3,C_4H_3+,51.0227,240804.92,0.22,carbon_cluster,positive,carbon cluster C4 H0-10 | positive ion formula
COC_pos,COC,pos,COC,C7H9,C_7H_9+,93.0735,190308.76,0.45,adduct,negative,break 2 bond(s) | -H
COC_pos,COC,pos,COC,C10H8,C_10H_8+,128.055,180336.7,0.22,carbon_cluster,positive,carbon cluster C10 H0-22 | positive ion formula
COC_pos,COC,pos,COC,C8H9,C_8H_9+,105.0713,173541.38,0.35,adduct,negative,break 2 bond(s) | H shift -2 | -H | ; | break 2 bond(s) | H shift -2 | -H
COC_pos,COC,pos,COC,C5H3,C_5H_3+,63.0221,171861.97,0.22,carbon_cluster,positive,carbon cluster C5 H0-12 | positive ion formula
COC_pos,COC,pos,COC,C6H6,C_6H_6+,78.045,153610.53,0.3,neutral_loss,neutral,break 2 bond(s) | H shift -1 | -CH3
COC_pos,COC,pos,COC,C7H11,C_7H_11+,95.0926,140101.76,0.45,adduct,positive,break 2 bond(s) | H
COC_pos,COC,pos,COC,C9H9,C_9H_9+,117.0651,127030.88,0.22,carbon_cluster,positive,carbon cluster C9 H0-20 | positive ion formula
COC_pos,COC,pos,COC,C5H6,C_5H_6+,66.0458,109027.29,0.22,carbon_cluster,positive,carbon cluster C5 H0-12 | positive ion formula
COC_pos,COC,pos,COC,C3H7,C_3H_7+,43.0572,100919.8,0.22,carbon_cluster,positive,carbon cluster C3 H0-8 | positive ion formula
COC_pos,COC,pos,COC,C10H9,C_10H_9+,129.0638,94340.16,0.22,carbon_cluster,positive,carbon cluster C10 H0-22 | positive ion formula
COC_pos,COC,pos,COC,C13H9,C_13H_9+,165.0597,93201.18,0.22,carbon_cluster,positive,carbon cluster C13 H0-28 | positive ion formula
COC_pos,COC,pos,COC,C11H9,C_11H_9+,141.0596,92424.17,0.22,carbon_cluster,positive,carbon cluster C11 H0-24 | positive ion formula
COC_pos,COC,pos,COC,C12H8,C_12H_8+,152.0492,90072.16,0.22,carbon_cluster,positive,carbon cluster C12 H0-26 | positive ion formula
COC_pos,COC,pos,COC,C7H8,C_7H_8+,92.0595,89918.93,0.4,adduct,negative,break 2 bond(s) | H shift -1 | -H
COC_pos,COC,pos,COC,C6H8,C_6H_8+,80.062,87870.33,0.3,neutral_loss,neutral,break 2 bond(s) | H shift +1 | -CH3
COC_pos,COC,pos,COC,C8H7,C_8H_7+,103.0508,82580.07,0.22,carbon_cluster,positive,carbon cluster C8 H0-18 | positive ion formula
COC_pos,COC,pos,COC,C5H9,C_5H_9+,69.0744,82328.76,0.22,carbon_cluster,positive,carbon cluster C5 H0-12 | positive ion formula
COC_pos,COC,pos,COC,C4H4,C_4H_4+,52.03,80456.08,0.22,carbon_cluster,positive,carbon cluster C4 H0-10 | positive ion formula
COC_pos,COC,pos,COC,C4H2,C_4H_2+,50.014,78584.8,0.22,carbon_cluster,positive,carbon cluster C4 H0-10 | positive ion formula
COC_pos,COC,pos,COC,C6H3,C_6H_3+,75.0215,65278.17,0.22,carbon_cluster,positive,carbon cluster C6 H0-14 | positive ion formula
COC_pos,COC,pos,COC,C5H8,C_5H_8+,68.0605,64899.86,0.22,carbon_cluster,positive,carbon cluster C5 H0-12 | positive ion formula
COC_pos,COC,pos,COC,C9H8,C_9H_8+,116.0565,64812.46,0.22,carbon_cluster,positive,carbon cluster C9 H0-20 | positive ion formula
COC_pos,COC,pos,COC,C12H9,C_12H_9+,153.0537,59787.35,0.22,carbon_cluster,positive,carbon cluster C12 H0-26 | positive ion formula
COC_pos,COC,pos,COC,C3H4,C_3H_4+,40.0298,59030.27,0.22,carbon_cluster,positive,carbon cluster C3 H0-8 | positive ion formula
COC_pos,COC,pos,COC,C10H7,C_10H_7+,127.048,54044.55,0.22,carbon_cluster,positive,carbon cluster C10 H0-22 | positive ion formula
COC_pos,COC,pos,COC,C3H2,C_3H_2+,38.0143,52431.5,0.22,carbon_cluster,positive,carbon cluster C3 H0-8 | positive ion formula
COC_pos,COC,pos,COC,C11H7,C_11H_7+,139.0464,50494.51,0.22,carbon_cluster,positive,carbon cluster C11 H0-24 | positive ion formula
COC_pos,COC,pos,COC,C5H2,C_5H_2+,62.0135,48848.9,0.22,carbon_cluster,positive,carbon cluster C5 H0-12 | positive ion formula
COC_pos,COC,pos,COC,C6H2,C_6H_2+,74.0128,48838.55,0.22,carbon_cluster,positive,carbon cluster C6 H0-14 | positive ion formula
COC_pos,COC,pos,COC,C7H5,C_7H_5+,89.0347,48570.25,0.22,carbon_cluster,positive,carbon cluster C7 H0-16 | positive ion formula
COC_pos,COC,pos,COC,C8H11,C_8H_11+,107.0924,45996.71,0.45,adduct,negative,break 2 bond(s) | -H | ; | break 2 bond(s) | -H
COC_pos,COC,pos,COC,C7H3,C_7H_3+,87.0207,44868.99,0.22,carbon_cluster,positive,carbon cluster C7 H0-16 | positive ion formula
COC_pos,COC,pos,COC,C14H10,C_14H_10+,178.0618,44227.07,0.22,carbon_cluster,positive,carbon cluster C14 H0-30 | positive ion formula
COC_pos,COC,pos,COC,C3H6,C_3H_6+,42.0438,44012.8,0.22,carbon_cluster,positive,carbon cluster C3 H0-8 | positive ion formula
COC_pos,COC,pos,COC,C8H6,C_8H_6+,102.0431,43968.45,0.22,carbon_cluster,positive,carbon cluster C8 H0-18 | positive ion formula
COC_pos,COC,pos,COC,C4H6,C_4H_6+,54.0453,43764.53,0.22,carbon_cluster,positive,carbon cluster C4 H0-10 | positive ion formula
COC_pos,COC,pos,COC,C8H8,C_8H_8+,104.0602,41928.81,0.2499999999999999,neutral_loss,neutral,break 2 bond(s) | H shift -2 | -H2 | ; | break 2 bond(s) | H shift -2 | -H2
COC_pos,COC,pos,COC,C9H11,C_9H_11+,119.0903,41130.32,0.4,neutral_loss,neutral,break 1 bond(s) | H shift -2 | -H2 | ; | break 1 bond(s) | H shift -2 | -H2 | ; | break 2 bond(s) | H shift -2 | -H2
COC_pos,COC,pos,COC,C10H11,C_10H_11+,131.0874,38344.72,0.22,carbon_cluster,positive,carbon cluster C10 H0-22 | positive ion formula
COC_pos,COC,pos,COC,C5H4,C_5H_4+,64.0289,32429.97,0.22,carbon_cluster,positive,carbon cluster C5 H0-12 | positive ion formula
COC_pos,COC,pos,COC,C8H13,C_8H_13+,109.1117,30497.78,0.45,adduct,positive,break 2 bond(s) | H | ; | break 2 bond(s) | H
COC_pos,COC,pos,COC,C8H10,C_8H_10+,106.078,30169.79,0.4,neutral_loss,neutral,break 1 bond(s) | H shift -2 | -CH3 | ; | break 1 bond(s) | H shift -2 | -CH3 | ; | break 2 bond(s) | H shift -2 | -CH3
COC_pos,COC,pos,COC,C7H2,C_7H_2+,86.012,29088.98,0.22,carbon_cluster,positive,carbon cluster C7 H0-16 | positive ion formula
COC_pos,COC,pos,COC,C6H4,C_6H_4+,76.029,28697.05,0.22,carbon_cluster,positive,carbon cluster C6 H0-14 | positive ion formula
COC_pos,COC,pos,COC,C14H8,C_14H_8+,176.0448,27381.64,0.22,carbon_cluster,positive,carbon cluster C14 H0-30 | positive ion formula
COC_pos,COC,pos,COC,C11H10,C_11H_10+,142.0681,26562.67,0.22,carbon_cluster,positive,carbon cluster C11 H0-24 | positive ion formula
COC_pos,COC,pos,COC,C4H9,C_4H_9+,57.0737,26307.65,0.22,carbon_cluster,positive,carbon cluster C4 H0-10 | positive ion formula
COC_pos,COC,pos,COC,C12H11,C_12H_11+,155.0804,24366.48,0.22,carbon_cluster,positive,carbon cluster C12 H0-26 | positive ion formula
EVA_neg,EVA,neg,EVA,C4H,C_4H-,49.0097,1271828.64,0.22,carbon_cluster,positive,carbon cluster C4 H0-10 | positive ion formula
EVA_neg,EVA,neg,EVA,C2H3O2,C_2H_3O_2-,59.0168,1180077.62,0.6,fragment,neutral,break 1 bond(s) | ; | break 2 bond(s) | ; | break 2 bond(s) | ; | break 2 bond(s)
EVA_neg,EVA,neg,EVA,CClO,COCl-,62.9672,658428.11,0.33,adduct,negative,break 2 bond(s) | Cl
EVA_neg,EVA,neg,EVA,C6H,C_6H-,73.0081,565340.58,0.22,carbon_cluster,positive,carbon cluster C6 H0-14 | positive ion formula
EVA_neg,EVA,neg,EVA,C2HO,C_2HO-,41.0059,515804.11,0.5499999999999999,adduct,negative,break 1 bond(s) | H shift -1 | -H | ; | break 2 bond(s) | H shift -1 | -H | ; | break 2 bond(s) | H shift -2 | -H
EVA_neg,EVA,neg,EVA,C3H,C_3H-,37.009,358830.43,0.22,carbon_cluster,positive,carbon cluster C3 H0-8 | positive ion formula
EVA_neg,EVA,neg,EVA,C3H2,C_3H_2-,38.0164,265394.74,0.2499999999999999,neutral_loss,neutral,break 2 bond(s) | H shift -2 | -H2 | ; | break 2 bond(s) | H shift -2 | -H2O | ; | break 2 bond(s) | H shift -2 | -H2
EVA_neg,EVA,neg,EVA,C4H2,C_4H_2-,50.0105,246181.38,0.22,carbon_cluster,positive,carbon cluster C4 H0-10 | positive ion formula
EVA_neg,EVA,neg,EVA,C3,C_3-,36.0007,225914.31,0.22,carbon_cluster,positive,carbon cluster C3 H0-8 | positive ion formula
EVA_neg,EVA,neg,EVA,C8H,C_8H-,97.0092,219375.45,0.22,carbon_cluster,positive,carbon cluster C8 H0-18 | positive ion formula
EVA_neg,EVA,neg,EVA,C5H2,C_5H_2-,62.0159,207390.12,0.22,carbon_cluster,positive,carbon cluster C5 H0-12 | positive ion formula
