material,top_order,peak_index,rank,mz,intensity,polarity,rf_formula_raw,normalized_formula,rf_score,rf_ppm,same_material_mode_match,same_material_formula_match,all_network_compound_count,all_network_compounds,formula_all_network_compound_count,formula_all_network_compounds,plain_presence_note,generation_types,network_formula_modes
PAI,9,110,5,42.0153,1542045.47,-,C₂H₂O⁻,C2H2O,63,-99.6,False,False,4,EVA; PEN; PET; PVDF,6,EVA; PEN; PET; POMC; POMH; PVDF,公式+极性在network中出现,,
PAI,10,30,5,22.9906,618870.46,+,Na⁺,Na,98,-60.0,False,False,0,,0,,network未出现,,
PBI,1,3,1,1.009,7246419.42,-,H⁻,H,100,-620.4,False,False,0,,8,EVA; Nomex; PEEK; PEEK20%GFR; PEN; PET; POMC; POMH,公式在network中出现但极性未对应,,
PBI,2,90,1,38.9704,3881287.68,+,K⁺,K,15,-185.9,False,False,0,,0,,network未出现,,
PBI,3,37,2,22.9939,3794307.12,+,Na⁺,Na,15,-203.5,False,False,0,,0,,network未出现,,
PBI,4,42,2,25.0096,1993865.2,-,C₂H⁻,C2H,100,-49.0,False,False,4,EVA; PEN; PET; PVDF,7,COC; ETFE; EVA; PEI; PEN; PET; PVDF,公式+极性在network中出现,,
PBI,5,445,3,132.9196,3260176.94,+,Cs⁺,Cs,67,-110.6,False,False,0,,0,,network未出现,,
PBI,6,44,3,26.006,1678514.91,-,CN⁻,CN,70,-91.4,False,False,0,,1,Nomex,公式在network中出现但极性未对应,,
PBI,7,14,4,13.0084,1015170.67,-,CH⁻,CH,100,-2.0,False,False,0,,12,COC; ETFE; EVA; Nomex; PEEK; PEEK20%GFR; PEN; PET; POMC; POMH; PTFE; PVDF,公式在network中出现但极性未对应,,
PBI,8,103,4,41.0402,866079.63,+,C₃H₅⁺,C3H5,100,-39.6,False,False,6,COC; EVA; PEI; PET; POMC; POMH,7,COC; ETFE; EVA; PEI; PET; POMC; POMH,公式+极性在network中出现,,
PBI,9,22,5,15.9952,849927.17,-,O⁻,O,84,16.5,False,False,0,,6,EVA; Nomex; PEN; PET; POMC; POMH,公式在network中出现但极性未对应,,
PBI,10,155,5,55.0568,554935.88,+,C₄H₇⁺,C4H7,100,-46.8,False,False,5,COC; EVA; PET; POMC; POMH,5,COC; EVA; PET; POMC; POMH,公式+极性在network中出现,,
PCTFE,1,26,1,19.0008,8982939.76,-,F⁻,F,64,-97.3,False,False,0,,3,ETFE; PTFE; PVDF,公式在network中出现但极性未对应,,
PCTFE,2,258,1,84.9709,752763.91,+,CHCaO₂⁺,CHCaO2,39,-131.9,False,False,0,,0,,network未出现,,
PCTFE,3,68,2,34.9714,6716999.25,-,Cl⁻,Cl,85,-57.1,False,False,0,,0,,network未出现,,
PCTFE,4,92,2,41.0411,703657.69,+,C₃H₅⁺,C3H5,100,-61.5,False,False,6,COC; EVA; PEI; PET; POMC; POMH,7,COC; ETFE; EVA; PEI; PET; POMC; POMH,公式+极性在network中出现,,
PCTFE,5,2,3,1.0088,3601595.55,-,H⁻,H,15,-422.3,False,False,0,,8,EVA; Nomex; PEEK; PEEK20%GFR; PEN; PET; POMC; POMH,公式在network中出现但极性未对应,,
PCTFE,6,58,3,30.9991,694407.08,+,CF⁺,CF,95,-40.2,False,False,0,,5,ETFE; FEP; PFA; PTFE; PVDF,公式在network中出现但极性未对应,,
PCTFE,7,74,4,36.9667,3019494.64,-,³⁷Cl⁻,Cl,85,11.4,False,False,0,,0,,network未出现,,
PCTFE,8,196,4,68.9975,662794.79,+,C₃HO₂⁺,C3HO2,97,-5.7,False,False,4,EVA; PET; POMC; POMH,5,EVA; PEN; PET; POMC; POMH,公式+极性在network中出现,,
PCTFE,9,200,5,69.9349,1080711.72,-,Cl₂⁻,Cl2,85,48.0,False,False,0,,0,,network未出现,,
PCTFE,10,429,5,130.9894,555018.37,+,C₅H₄ClO₂⁺,C5H4ClO2,46,0.3,False,False,0,,0,,network未出现,,
PEEK,1,2,1,1.0083,7607716.64,-,H⁻,H,57,73.4,False,True,0,,8,EVA; Nomex; PEEK; PEEK20%GFR; PEN; PET; POMC; POMH,公式在network中出现但极性未对应,,neutral
PEEK,2,492,1,132.9052,2562380.44,+,Cs⁺,Cs,89,-2.2,False,False,0,,0,,network未出现,,
PEEK,3,35,2,25.0085,2520443.21,-,C₂H⁻,C2H,100,-5.0,False,False,4,EVA; PEN; PET; PVDF,7,COC; ETFE; EVA; PEI; PEN; PET; PVDF,公式+极性在network中出现,,
PEEK,4,89,2,41.0385,853346.75,+,C₃H₅⁺,C3H5,100,1.9,False,False,6,COC; EVA; PEI; PET; POMC; POMH,7,COC; ETFE; EVA; PEI; PET; POMC; POMH,公式+极性在network中出现,,
PEEK,5,130,3,49.0087,1077553.21,-,C₄H⁻,C4H,100,-6.7,False,False,5,COC; EVA; PET; POMC; POMH,5,COC; EVA; PET; POMC; POMH,公式+极性在network中出现,,
PEEK,6,29,3,22.9895,602434.21,+,Na⁺,Na,97,-12.2,False,False,0,,0,,network未出现,,
PEEK,7,11,4,13.0076,766494.17,-,CH⁻,CH,100,59.5,False,True,0,,12,COC; ETFE; EVA; Nomex; PEEK; PEEK20%GFR; PEN; PET; POMC; POMH; PTFE; PVDF,公式在network中出现但极性未对应,,neutral
PEEK,8,152,4,55.0546,578481.87,+,C₄H₇⁺,C4H7,100,-6.8,False,False,5,COC; EVA; PET; POMC; POMH,5,COC; EVA; PET; POMC; POMH,公式+极性在network中出现,,
PEEK,9,239,5,73.0081,634456.48,-,C₆H⁻,C6H,100,3.8,True,True,12,COC; EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH; PPS; PPS40%GFR,13,COC; EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH; PPS; PPS40%GFR,公式+极性在network中出现,adduct,negative; neutral
PEEK,10,100,5,43.0549,567203.3,+,C₃H₇⁺,C3H7,100,-15.7,False,False,6,COC; EVA; PEI; PET; POMC; POMH,6,COC; EVA; PEI; PET; POMC; POMH,公式+极性在network中出现,,
PEI,1,3,1,1.0084,9459460.99,-,H⁻,H,15,-25.8,False,False,0,,8,EVA; Nomex; PEEK; PEEK20%GFR; PEN; PET; POMC; POMH,公式在network中出现但极性未对应,,
PEI,2,98,1,41.0396,1484180.8,+,C₃H₅⁺,C3H5,100,-25.0,True,True,6,COC; EVA; PEI; PET; POMC; POMH,7,COC; ETFE; EVA; PEI; PET; POMC; POMH,公式+极性在network中出现,adduct,negative; neutral; positive
PEI,3,38,2,25.0086,2579126.98,-,C₂H⁻,C2H,100,-9.0,False,True,4,EVA; PEN; PET; PVDF,7,COC; ETFE; EVA; PEI; PEN; PET; PVDF,公式+极性在network中出现,,neutral
PEI,4,163,2,55.0557,772105.89,+,C₄H₇⁺,C4H7,100,-26.8,False,False,5,COC; EVA; PET; POMC; POMH,5,COC; EVA; PET; POMC; POMH,公式+极性在network中出现,,
PEI,5,40,3,26.0052,2105037.73,-,CN⁻,CN,70,-60.6,False,False,0,,1,Nomex,公式在network中出现但极性未对应,,
PEI,6,110,3,43.0554,769823.1,+,C₃H₇⁺,C3H7,100,-27.3,True,True,6,COC; EVA; PEI; PET; POMC; POMH,6,COC; EVA; PEI; PET; POMC; POMH,公式+极性在network中出现,adduct,negative; neutral; positive
PEI,7,103,4,42.001,1529700.15,-,CNO⁻,CNO,64,-58.6,False,False,1,Nomex,1,Nomex,公式+极性在network中出现,,
PEI,8,55,4,29.0388,740107.94,+,C₂H₅⁺,C2H5,100,-7.7,False,True,6,COC; ETFE; EVA; PEN; PET; PVDF,9,COC; ETFE; EVA; PEI; PEN; PET; POMC; POMH; PVDF,公式+极性在network中出现,,neutral
PEI,9,12,5,13.0072,1040253.1,-,CH⁻,CH,91,90.3,False,False,0,,12,COC; ETFE; EVA; Nomex; PEEK; PEEK20%GFR; PEN; PET; POMC; POMH; PTFE; PVDF,公式在network中出现但极性未对应,,
PEI,10,44,5,27.0225,671636.69,+,C₂H₃⁺,C2H3,100,15.8,False,True,4,EVA; PEN; PET; PVDF,9,COC; ETFE; EVA; PEI; PEN; PET; POMC; POMH; PVDF,公式+极性在network中出现,,neutral
PEN,1,2,1,1.0085,4796206.05,-,H⁻,H,15,-124.9,False,True,0,,8,EVA; Nomex; PEEK; PEEK20%GFR; PEN; PET; POMC; POMH,公式在network中出现但极性未对应,,neutral
PEN,2,474,1,132.9038,926737.03,+,Cs⁺,Cs,89,8.3,False,False,0,,0,,network未出现,,
PEN,3,34,2,25.009,3531023.56,-,C₂H⁻,C2H,100,-25.0,True,True,4,EVA; PEN; PET; PVDF,7,COC; ETFE; EVA; PEI; PEN; PET; PVDF,公式+极性在network中出现,adduct,negative; neutral
PEN,4,449,2,126.044,809486.02,+,C₁₀H₆⁺,C10H6,84,19.0,True,True,6,COC; EVA; PEN; PET; POMC; POMH,6,COC; EVA; PEN; PET; POMC; POMH,公式+极性在network中出现,adduct,negative; neutral; positive
PEN,5,121,3,49.0093,1736002.99,-,C₄H⁻,C4H,100,-18.9,False,False,5,COC; EVA; PET; POMC; POMH,5,COC; EVA; PET; POMC; POMH,公式+极性在network中出现,,
PEN,6,542,3,154.0411,565928.88,+,C₁₁H₆O⁺,C11H6O,83,1.4,True,True,5,EVA; PEN; PET; POMC; POMH,8,EVA; PEEK; PEEK20%GFR; PEN; PET; PI; POMC; POMH,公式+极性在network中出现,adduct,negative; neutral; positive
PEN,7,17,4,15.9956,1354092.11,-,O⁻,O,100,-8.5,False,True,0,,6,EVA; Nomex; PEN; PET; POMC; POMH,公式在network中出现但极性未对应,,neutral
PEN,8,452,4,127.0511,552887.08,+,C₁₀H₇⁺,C10H7,85,24.6,True,True,6,COC; EVA; PEN; PET; POMC; POMH,6,COC; EVA; PEN; PET; POMC; POMH,公式+极性在network中出现,adduct,negative; neutral; positive
PEN,9,32,5,24.0004,1208639.29,-,C₂⁻,C2,100,6.2,False,True,0,,4,EVA; PEN; PET; PVDF,公式在network中出现但极性未对应,,neutral
PEN,10,83,5,41.0387,521627.5,+,C₃H₅⁺,C3H5,100,-3.0,False,False,6,COC; EVA; PEI; PET; POMC; POMH,7,COC; ETFE; EVA; PEI; PET; POMC; POMH,公式+极性在network中出现,,
PFA,1,18,1,18.9994,14547136.51,-,F⁻,F,100,-23.6,False,False,0,,3,ETFE; PTFE; PVDF,公式在network中出现但极性未对应,,
PFA,2,418,1,130.9942,3931172.38,+,C₄H₃O₅⁺,C4H3O5,64,25.2,False,False,0,,0,,network未出现,,
PFA,3,557,2,184.9913,10717480.01,-,C₅F₅NO⁻,C5F5NO,100,-4.0,False,False,0,,0,,network未出现,,
PFA,4,180,2,68.9948,3869462.03,+,C₃HO₂⁺,C3HO2,90,33.4,False,False,4,EVA; PET; POMC; POMH,5,EVA; PEN; PET; POMC; POMH,公式+极性在network中出现,,
PFA,5,279,3,92.9988,3747675.71,+,C₅HO₂⁺,C5HO2,84,-18.2,False,False,4,EVA; PET; POMC; POMH,6,EVA; PEEK; PEEK20%GFR; PET; POMC; POMH,公式+极性在network中出现,,
PFA,6,54,3,37.9977,3409139.47,-,F₂⁻,F2,100,-9.1,False,False,0,,3,ETFE; PTFE; PVDF,公式在network中出现但极性未对应,,
PFA,7,39,4,30.9983,3746447.59,+,CF⁺,CF,100,-14.4,False,True,0,,5,ETFE; FEP; PFA; PTFE; PVDF,公式在network中出现但极性未对应,,neutral
PFA,8,374,4,118.9927,3168609.48,-,C₂F₅⁻,C2F5,100,-1.1,False,False,1,PTFE,1,PTFE,公式+极性在network中出现,,
PFA,9,309,5,99.9969,3717599.56,+,CHF₃NO⁺,CHF3NO,45,35.7,False,False,0,,0,,network未出现,,
PFA,10,181,5,68.9957,2575085.69,-,CF₃⁻,CF3,100,0.8,True,True,3,FEP; PFA; PTFE,4,ETFE; FEP; PFA; PTFE,公式+极性在network中出现,adduct,negative; neutral
PI,1,462,1,132.9096,16178833.61,+,Cs⁺,Cs,84,-35.3,False,False,0,,0,,network未出现,,
PI,2,35,1,26.0059,3856092.64,-,CN⁻,CN,67,-87.6,False,False,0,,1,Nomex,公式在network中出现但极性未对应,,
