material,candidate_rank,label,match_score,matched_count,missing_typical_count,matched_formulas
PBI,6,聚苯乙烯碎片,0.6,3,2,C₆H₅⁺; C₇H₇⁺; C₈H₇⁺
PBI,7,同位素卫星峰,0.6,3,2,C⁻; ³⁷Cl⁻; Cu⁺
PBI,8,无机基准碎片,0.5,3,3,O⁻; HO⁻; H⁺
PBI,9,聚酰亚胺芳香碎片,0.5,2,2,C₆H₄⁺; CN⁻
PBI,10,含氯污染,0.5,2,2,³⁷Cl⁻; ³⁷Cl⁻
PBI,11,Cs离子束残留,0.5,1,1,Cs⁺
PBI,12,Cu基底/氧化铜,0.4,2,3,Cu⁺; Cu⁺
PBI,13,碳簇阴离子,0.4,2,3,C⁻; C₂⁻
PBI,14,PVC含氯聚合物,0.4,2,3,³⁷Cl⁻; ³⁷Cl⁻
PBI,15,POM甲醛链,0.3333333333333333,2,4,CHO⁺; CH₃O⁺
PBI,16,含磷碎片,0.3333333333333333,2,4,O₂P⁻; O₃P⁻
PBI,17,硅烷偶联剂,0.3333333333333333,1,2,C₃H₈N⁺
PBI,18,样品台胶带残留,0.3333333333333333,1,2,C⁻
PBI,19,Na/K加合物,0.3333333333333333,1,2,C₂H₄Na⁺
PBI,20,PET芳香酯碎片,0.25,1,3,C₆H₅⁺
PCTFE,1,含氮碎片,1.0,6,0,CH₄N⁺; C₂H₆N⁺; C₃H₈N⁺; ¹³CN⁻; CNO⁻; NO₂⁻
PCTFE,2,聚乙烯/聚丙烯碎片,0.8333333333333334,5,1,C₃H₅⁺; C₄H₇⁺; C₅H₉⁺; C₆H₁₁⁺; C₇H₁₃⁺
PCTFE,3,PVC含氯聚合物,0.8,4,1,³⁷Cl⁻; ³⁷Cl⁻; C₄H₅⁻; C₆H₅⁻
PCTFE,4,含氯污染,0.75,3,1,³⁷Cl⁻; ³⁷Cl⁻; ClO⁻
PCTFE,5,EVA乙烯-醋酸乙烯,0.75,3,1,C₂H₃O₂⁻; C₂H₃O₂⁻; C₃H₅⁺
PCTFE,6,无机基准碎片,0.6666666666666666,4,2,H⁻; O⁻; HO⁻; O₂⁻
PCTFE,7,含氯碎片,0.6666666666666666,2,1,³⁷Cl⁻; ³⁷Cl⁻
PCTFE,8,含氟碎片,0.5,2,2,F⁻; CF₃⁻
PCTFE,9,Au离子束残留,0.5,1,1,Au⁺
PCTFE,10,碳簇阴离子,0.4,2,3,C⁻; C₂⁻
PCTFE,11,ABS苯乙烯三元共聚,0.4,2,3,C₇H₇⁺; ¹³CN⁻
PCTFE,12,同位素卫星峰,0.4,2,3,C⁻; ³⁷Cl⁻
PCTFE,13,硅烷偶联剂,0.3333333333333333,1,2,C₃H₈N⁺
PCTFE,14,样品台胶带残留,0.3333333333333333,1,2,C⁻
PCTFE,15,Na/K加合物,0.3333333333333333,1,2,C₂H₄Na⁺
PCTFE,16,PTFE聚四氟乙烯,0.2857142857142857,2,5,CF₃⁻; C₃F₇⁻
PCTFE,17,聚酰亚胺芳香碎片,0.25,1,3,¹³CN⁻
PCTFE,18,聚苯乙烯碎片,0.2,1,4,C₇H₇⁺
PCTFE,19,碱金属离子,0.2,1,4,Na⁺
PEEK,1,聚乙烯/聚丙烯碎片,0.8333333333333334,5,1,C₄H₇⁺; C₅H₉⁺; C₆H₁₁⁺; C₇H₁₃⁺; C₈H₁₅⁺
PEEK,2,碳簇阴离子,0.8,4,1,C⁻; C₂⁻; C₃⁻; C₄⁻
PEEK,3,PVC含氯聚合物,0.8,4,1,³⁷Cl⁻; ³⁷Cl⁻; C₄H₅⁻; C₆H₅⁻
PEEK,4,脂肪酸,0.75,3,1,¹³CC₁₃H₂₇O₂⁻; ¹³CC₁₇H₃₃O₂⁻; ¹³CC₁₇H₃₅O₂⁻
PEEK,5,无机基准碎片,0.6666666666666666,4,2,H⁻; O⁻; HO⁻; O₂⁻
PEEK,6,含氯碎片,0.6666666666666666,2,1,³⁷Cl⁻; ³⁷Cl⁻
PEEK,7,含氮碎片,0.5,3,3,C₃H₈N⁺; CN⁻; CNO⁻
