material,peak_index,mz,intensity,polarity,ion_mode,rank,rf_formula_raw,rf_formula_clean,normalized_formula,rf_exact_mz,rf_ppm,rf_score,rf_source
PTFE,1124,514.6316,2419.95,+,positive,470,C₈H₅Cl₈NSn⁺,C8H5Cl8NSn,,514.694669,122.6,6,mols[0]
PTFE,1132,520.6747,2731.93,+,positive,447,C₃Cl₈Tl⁺,C3Cl8Tl,,520.724702,96.0,22,mols[0]
PTFE,1133,522.9486,899.49,+,positive,645,C₁₀H₈F₁₂MnO₇⁺,C10H8F12MnO7,,522.945336,-6.2,34,mols[0]
PTFE,1146,538.9571,1149.12,-,negative,374,C₁₂F₁₀Tl⁻,C12F10Tl,,538.959006,3.5,100,mols[0]
PTFE,1156,556.938,774.35,+,positive,664,C₆H₅AuF₉O₇⁺,C6H5AuF9O7,,556.955177,30.8,31,mols[0]
PTFE,1174,618.9267,338.09,+,positive,685,CHHg₃⁺,CHHg3,,618.919205,-12.1,38,mols[0]
PVDF,540,138.8938,6677.45,-,negative,188,La⁻,La,,138.906902,94.3,64,mols[0]
PVDF,651,174.8767,5996.33,+,positive,364,ClHLa⁺,ClHLa,,174.882482,33.1,15,mols[0]
PVDF,652,174.9133,2804.72,-,negative,301,FHLaO⁻,FHLaO,,174.908045,-30.0,56,mols[0]
PVDF,711,196.8506,923.83,-,negative,402,FKLa⁻,FKLa,,196.869011,93.5,19,mols[0]
PVDF,846,256.9574,3094.78,+,positive,427,C₇H₆LaN₂⁺,C7H6LaN2,,256.958902,5.8,32,mols[0]
PVDF,979,384.9787,1011.03,+,positive,498,C₆H₁₄LaO₁₀⁺,C6H14LaO10,,384.964504,-36.9,28,mols[0]
