Area Statistics
	Mass (u)	STD-SiB (+Grease-floodgun) *
(null)	324.6397	7999.53
(null)	324.9457	69706.10
(null)	325.9432	24410.86
(null)	326.9295	45997.66
(null)	327.9260	13906.61
(null)	328.9191	9686.87
(null)	329.9187	2240.11
(null)	339.0173	6889.86
(null)	340.0038	2203.20
(null)	341.0027	10135.42
(null)	342.0016	2602.45
(null)	355.0245	3291.64
(null)	366.9264	3084.65
(null)	380.9489	5954.31
(null)	381.9394	5974.95
(null)	382.9231	13776.71
(null)	383.9230	8214.75
(null)	384.5996	6280.91
(null)	384.9105	9611.61
(null)	396.9908	6548.86
(null)	397.9853	3619.18
(null)	398.9679	11761.83
(null)	399.9722	5510.01
(null)	400.9551	9839.06
(null)	401.9572	3222.24
(null)	402.9503	2244.91
(null)	440.9211	2015.63
(null)	442.8956	2366.19
(null)	444.9004	1472.39
(null)	446.8802	950.84
(null)	456.9381	3693.56
(null)	457.9201	2379.22
(null)	458.9118	5576.47
(null)	459.9004	3533.24
(null)	460.8905	5399.76
(null)	461.8966	1832.91
(null)	462.8944	1291.60
(null)	467.4958	121.05
(null)	532.9370	1030.03
(null)	534.9217	1036.05


