Area Statistics
	Mass (u)	STD-SiB (-Grease-floodgun) *
(null)	176.9552	15960.45
(null)	177.0849	991.51
(null)	177.9220	1388.56
(null)	177.9552	2947.36
(null)	178.9342	12277.33
(null)	178.9732	7045.23
(null)	179.0645	1412.96
(null)	179.9320	2469.85
(null)	179.9749	1247.91
(null)	180.9132	1481.29
(null)	186.9342	1511.27
(null)	188.9929	1705.12
(null)	190.9708	7553.79
(null)	191.0124	2599.49
(null)	191.9701	1934.64
(null)	192.9897	16522.74
(null)	193.9897	3062.75
(null)	194.9242	2856.11
(null)	194.9813	9605.13
(null)	205.0255	3116.78
(null)	207.0036	29130.17
(null)	208.0023	7094.03
(null)	208.6980	2071.54
(null)	208.9817	19187.70
(null)	209.0253	29067.34
(null)	209.9814	3451.11
(null)	210.0254	5902.75
(null)	210.9753	3260.39
(null)	211.0229	3439.18
(null)	212.0217	551.39
(null)	216.9071	1870.78
(null)	218.9530	2594.16
(null)	220.7391	3866.62
(null)	221.0599	26996.78
(null)	222.0533	8924.77
(null)	222.7256	5577.98
(null)	223.0401	185517.17
(null)	224.0399	39314.32
(null)	225.0360	26033.75
(null)	226.0368	3904.11
(null)	227.0319	1386.21
(null)	232.8752	601.27
(null)	234.9393	2961.71
(null)	235.0411	4242.32
(null)	236.0385	1039.23
(null)	236.9631	2048.75
(null)	237.0488	3500.92
(null)	237.0919	10687.94
(null)	238.0502	809.87
(null)	238.0930	2510.99
(null)	238.9378	2730.40
(null)	239.0790	4009.03
(null)	239.9418	399.18
(null)	240.0825	612.35
(null)	240.9269	808.41
(null)	249.0003	1625.54
(null)	250.9704	5744.27
(null)	252.6302	965.54
(null)	252.9570	6090.60
(null)	253.9588	1280.26
(null)	254.9416	2709.27
(null)	262.6874	3275.52
(null)	263.0185	2710.93
(null)	264.6635	7472.14
(null)	264.9825	14381.84
(null)	265.9812	4500.07
(null)	266.9743	10508.26
(null)	267.9668	3040.67
(null)	268.9599	5392.03
(null)	279.0464	3694.40
(null)	281.0273	5349.23
(null)	282.0292	1245.32
(null)	283.0207	5347.60
(null)	284.0228	1416.08
(null)	284.9998	575.28
(null)	295.0801	6329.41
(null)	296.0817	1905.87
(null)	297.0608	16744.57
(null)	298.0611	4546.58
(null)	299.0582	2849.67
(null)	300.0587	610.20
(null)	328.9630	670.36
(null)	337.0278	503.55
(null)	339.0070	3547.29
(null)	341.0064	1583.79
(null)	342.9989	682.57
(null)	353.0670	1048.67
(null)	355.0579	807.46
(null)	369.1069	814.38
(null)	371.0836	2785.18
(null)	372.0848	934.39
(null)	373.0811	660.21
(null)	374.0795	203.02


