Area Statistics
	Mass (u)	PET0 (-PET0-Floodgun-1) *
C_7H_5O-	105.0357	101973.22
C_6H_2O_2-	106.0055	5589.26
C_7H_6O-	106.0403	11236.34
C_6H_3O_2-	107.0147	5009.90
C_7H_7O-	107.0509	4185.82
C_9-	107.9992	60524.28
C_9H-	109.0070	83246.71
C_9H_2-	110.0150	67018.86
C_9H_3-	111.0218	33970.10
C_9H_4-	112.0308	20464.62
C_8HO-	113.0027	20976.78
C_9H_5-	113.0397	25104.12
C_8H_2O-	114.0078	5920.13
C_9H_6-	114.0478	13634.94
C_8H_3O-	115.0189	18771.54
C_9H_7-	115.0563	10438.15
C_8H_4O-	116.0274	30619.91
C_7HO_2-	116.9966	6164.16
C_8H_5O-	117.0349	27063.05
C_8H_6O-	118.0430	16436.86
C_7H_3O_2-	119.0153	15899.36
C_8H_7O-	119.0514	15430.59
C_10-	119.9984	41239.35
C_7H_4O_2-	120.0233	443799.21
C_10H-	121.0050	146711.47
C_7H_5O_2-	121.0329	697509.27
C_10H_2-	122.0097	24336.04
C_7H_6O_2-	122.0357	54771.55
C_10H_3-	123.0243	25584.49
C_10H_4-	124.0308	11168.76
C_10H_5-	125.0393	14515.29
C_9H_2O-	126.0068	2519.23
C_10H_6-	126.0460	3882.01
C_9H_3O-	127.0183	2840.11
C_10H_7-	127.0576	4840.83
C_9H_4O-	128.0271	4393.56
C_9H_5O-	129.0355	18870.79
C_9H_6O-	130.0417	5390.54
C_8H_3O_2-	131.0145	5909.92
C_9H_7O-	131.0514	5692.02
C_11-	131.9983	16826.40
C_11H-	133.0063	38585.53
C_8H_5O_2-	133.0313	25993.18
C_11H_2-	134.0147	37839.70
C_8H_6O_2-	134.0386	12918.10
C_3H_3S_2O_2-	134.9558	6912.49
C_11H_3-	135.0194	24653.50
C_8H_7O_2-	135.0469	26673.78
C_11H_4-	136.0243	27375.99
C_2HS_2O_3-	136.9311	8947.14
C_11H_5-	137.0344	29275.90
C_11H_6-	138.0457	10341.91
C_10H_3O-	139.0179	4928.93
C_11H_7-	139.0553	6747.94
C_10H_4O-	140.0268	5077.93
C_11H_8-	140.0637	2714.67
C_10H_5O-	141.0341	8754.13
C_10H_6O-	142.0425	6331.05
C_9H_3O_2-	143.0105	2752.09
C_10H_7O-	143.0509	7646.76
C_12-	143.9972	14027.35
C_9H_4O_2-	144.0246	4999.63
C_12H-	145.0065	68569.83
C_9H_5O_2-	145.0323	14952.27
C_12H_2-	146.0101	11504.92
C_9H_6O_2-	146.0394	4751.52
C_12H_3-	147.0134	19635.25
C_9H_7O_2-	147.0464	77776.22
C_12H_4-	148.0197	11314.11
C_9H_8O_2-	148.0498	9195.31
C_12H_5-	149.0276	40783.20
C_9H_9O_2-	149.0600	18675.53
C_12H_6-	150.0384	11009.22
C_12H_7-	151.0532	7268.51
C_12H_8-	152.0637	29879.62
C_11H_5O-	153.0331	7891.16
C_12H_9-	153.0704	6096.87
C_11H_6O-	154.0412	2860.99
C_11H_7O-	155.0509	3148.37
C_10H_4O_2-	155.9982	7136.79
C_11H_8O-	156.0593	1364.49
C_10H_5O_2-	157.0056	16769.51
C_10H_6O_2-	158.0150	17899.85
C_9H_3O_3-	159.0203	11902.10
C_9H_4O_3-	160.0255	9245.82
C_9H_5O_3-	161.0349	21728.62
C_9H_6O_3-	162.0411	9811.36
C_9H_7O_3-	163.0378	37016.79
C_9H_8O_3-	164.0476	8573.90
C_8H_5O_4-	165.0233	61277.10
C_9H_9O_3-	165.0602	26700.71
C_8H_6O_4-	166.0375	13292.61
C_8H_7O_4-	167.0470	9946.25
C_8H_8O_4-	168.0589	3909.02
C_10HO_3-	169.0068	25347.36
C_8H_9O_4-	169.0669	2653.21
C_10H_2O_3-	170.0091	4490.79
C_10H_3O_3-	171.0169	3299.57
C_8H_11O_4-	171.0463	3629.78
C_10H_4O_3-	172.0286	2656.67
C_10H_5O_3-	173.0342	6801.62
