Area Statistics
	Mass (u)	PET0 (+PET0-Floodgun-2) *
C_9H_8O_3+	164.0345	54363.50
C_9H_9O_3+	165.0591	114994.21
C_8H_6O_4+	166.0598	26343.34
C_8H_7O_4+	167.0657	13025.14
C_8H_8O_4+	168.0511	5201.99
C_8H_9O_4+	169.0595	4024.96
C_10H_2O_3+	170.0027	9694.93
C_10H_3O_3+	171.0051	6140.19
C_14H_3+	171.0397	3255.14
C_8H_11O_4+	171.0764	2067.03
C_10H_5O_3+	173.0159	7389.92
C_10H_5O_3+	173.0599	3924.90
C_10H_6O_3+	174.0286	31952.92
C_9H_3O_4+	175.0319	42453.18
C_10H_8O_3+	176.0451	70995.55
C_9H_5O_4+	177.0472	44638.40
C_9H_6O_4+	178.0562	56735.17
C_9H_7O_4+	179.0401	10642.79
C_10H_11O_3+	179.0751	14260.46
C_9H_8O_4+	180.0554	11656.73
C_9H_9O_4+	181.0572	13140.63
C_11H_2O_3+	181.9990	5084.52
C_13H_10O+	182.0666	2770.67
C_10H_2O_4+	186.0108	17080.74
C_10H_3O_4+	187.0304	59879.23
C_11H_8O_3+	188.0262	29346.39
C_11H_9O_3+	189.0507	90413.10
C_11H_10O_3+	190.0472	25687.52
C_10H_7O_4+	191.0298	45218.85
C_10H_8O_4+	192.0412	10364.15
C_10H_9O_4+	193.0500	44521.29
C_9H_6O_5+	193.9993	3749.76
C_10H_10O_4+	194.0583	9015.09
C_8H_8O_6+	200.0359	50490.11
C_8H_9O_6+	201.0335	30674.09
C_8H_10O_6+	202.0555	63081.94
C_8H_11O_6+	203.0582	25633.51
C_9H_7O_6+	211.0258	30676.99
C_9H_9O_6+	213.0474	46106.63
C_9H_11O_6+	215.0647	35033.79
C_11H_7O_5+	219.0658	7774.97
C_10H_8O_6+	224.0297	36478.83
C_10H_9O_6+	225.0323	21383.61
C_10H_10O_6+	226.0496	46567.94
C_10H_11O_6+	227.0499	19155.99
C_11H_7O_6+	235.0327	25799.87
C_11H_9O_6+	237.0434	37296.62
C_11H_11O_6+	239.0606	37759.06
C_12H_8O_6+	248.0211	19358.54
C_12H_10O_6+	250.0409	28796.35
C_12H_12O_6+	252.0621	20914.70
C_13H_7O_6+	259.0129	10027.92
C_13H_9O_6+	261.0262	20566.37
C_13H_11O_6+	263.0524	25384.49
C_14H_8O_6+	272.0171	10155.66
C_14H_10O_6+	274.0324	18479.73
C_14H_12O_6+	276.0569	18244.43
C_15H_11O_6+	287.0422	15999.61
C_15H_13O_6+	289.0680	11240.74
C_15H_6O_7+	298.0288	11990.99
C_19H_8O_4+	300.0507	12901.22
C_17H_9O_6+	309.0166	6544.86
C_17H_11O_6+	311.0334	11053.11
C_17H_13O_6+	313.0637	10121.58
C_17H_6O_7+	322.0156	4779.89
C_17H_8O_7+	324.0420	8547.34
C_17H_10O_7+	326.0664	5382.95
C_19H_11O_6+	335.0262	6070.55
C_18H_9O_7+	337.0542	6820.42
C_18H_13O_7+	341.0723	5356.82
C_23H_10O_4+	350.0600	4581.99
C_23H_21O_4+	361.0444	4862.61
C_23H_13O_6+	385.0720	4577.16


